year,state,state_name,county_fips,county_name,population_2020,pollutant,statistic,unit,metric_key,value,status,naaqs_standard,value_as_fraction_of_standard,exceeds_standard
2025,AK,Alaska,02020,Anchorage Municipality,291247,CO,8-hour,ppm,co_8hr_ppm,2.6,reported,9,0.2888888888888889,FALSE
2025,AK,Alaska,02020,Anchorage Municipality,291247,Lead,3-month,ug/m3,lead_3mo_ug_m3,,no_data,0.15,,
2025,AK,Alaska,02020,Anchorage Municipality,291247,NO2,1-hour,ppb,no2_1hr_ppb,,no_data,100,,
2025,AK,Alaska,02020,Anchorage Municipality,291247,NO2,annual mean,ppb,no2_annual_mean_ppb,,no_data,53,,
2025,AK,Alaska,02020,Anchorage Municipality,291247,Ozone,8-hour,ppb,ozone_8hr_ppb,,no_data,70,,
2025,AK,Alaska,02020,Anchorage Municipality,291247,PM10,24-hour,ug/m3,pm10_24hr_ug_m3,141,reported,150,0.94,FALSE
2025,AK,Alaska,02020,Anchorage Municipality,291247,PM2.5,24-hour,ug/m3,pm25_24hr_ug_m3,23.8,reported,35,0.68,FALSE
2025,AK,Alaska,02020,Anchorage Municipality,291247,PM2.5,weighted annual mean,ug/m3,pm25_annual_mean_ug_m3,5.1,reported,9,0.5666666666666667,FALSE
2025,AK,Alaska,02020,Anchorage Municipality,291247,SO2,1-hour,ppb,so2_1hr_ppb,,no_data,75,,
2025,AK,Alaska,02020,Anchorage Municipality,291247,SO2,weighted annual mean,ppb,so2_annual_mean_ppb,,no_data,10,,
2025,AK,Alaska,02068,Denali Borough,1619,CO,8-hour,ppm,co_8hr_ppm,,no_data,9,,
2025,AK,Alaska,02068,Denali Borough,1619,Lead,3-month,ug/m3,lead_3mo_ug_m3,,no_data,0.15,,
2025,AK,Alaska,02068,Denali Borough,1619,NO2,1-hour,ppb,no2_1hr_ppb,,no_data,100,,
2025,AK,Alaska,02068,Denali Borough,1619,NO2,annual mean,ppb,no2_annual_mean_ppb,,no_data,53,,
2025,AK,Alaska,02068,Denali Borough,1619,Ozone,8-hour,ppb,ozone_8hr_ppb,51,reported,70,0.7285714285714285,FALSE
2025,AK,Alaska,02068,Denali Borough,1619,PM10,24-hour,ug/m3,pm10_24hr_ug_m3,,no_data,150,,
2025,AK,Alaska,02068,Denali Borough,1619,PM2.5,24-hour,ug/m3,pm25_24hr_ug_m3,,no_data,35,,
2025,AK,Alaska,02068,Denali Borough,1619,PM2.5,weighted annual mean,ug/m3,pm25_annual_mean_ug_m3,,no_data,9,,
2025,AK,Alaska,02068,Denali Borough,1619,SO2,1-hour,ppb,so2_1hr_ppb,,no_data,75,,
2025,AK,Alaska,02068,Denali Borough,1619,SO2,weighted annual mean,ppb,so2_annual_mean_ppb,,no_data,10,,
2025,AK,Alaska,02090,Fairbanks North Star Borough,95655,CO,8-hour,ppm,co_8hr_ppm,1.8,reported,9,0.2,FALSE
2025,AK,Alaska,02090,Fairbanks North Star Borough,95655,Lead,3-month,ug/m3,lead_3mo_ug_m3,,no_data,0.15,,
2025,AK,Alaska,02090,Fairbanks North Star Borough,95655,NO2,1-hour,ppb,no2_1hr_ppb,,no_data,100,,
2025,AK,Alaska,02090,Fairbanks North Star Borough,95655,NO2,annual mean,ppb,no2_annual_mean_ppb,,no_data,53,,
2025,AK,Alaska,02090,Fairbanks North Star Borough,95655,Ozone,8-hour,ppb,ozone_8hr_ppb,51,reported,70,0.7285714285714285,FALSE
2025,AK,Alaska,02090,Fairbanks North Star Borough,95655,PM10,24-hour,ug/m3,pm10_24hr_ug_m3,88,reported,150,0.5866666666666667,FALSE
2025,AK,Alaska,02090,Fairbanks North Star Borough,95655,PM2.5,24-hour,ug/m3,pm25_24hr_ug_m3,56.6,reported,35,1.6171428571428572,TRUE
2025,AK,Alaska,02090,Fairbanks North Star Borough,95655,PM2.5,weighted annual mean,ug/m3,pm25_annual_mean_ug_m3,10.2,reported,9,1.1333333333333333,TRUE
2025,AK,Alaska,02090,Fairbanks North Star Borough,95655,SO2,1-hour,ppb,so2_1hr_ppb,13.8,reported,75,0.184,FALSE
2025,AK,Alaska,02090,Fairbanks North Star Borough,95655,SO2,weighted annual mean,ppb,so2_annual_mean_ppb,1.8,reported,10,0.18,FALSE
2025,AK,Alaska,02110,Juneau City and Borough,32255,CO,8-hour,ppm,co_8hr_ppm,,no_data,9,,
2025,AK,Alaska,02110,Juneau City and Borough,32255,Lead,3-month,ug/m3,lead_3mo_ug_m3,,no_data,0.15,,
2025,AK,Alaska,02110,Juneau City and Borough,32255,NO2,1-hour,ppb,no2_1hr_ppb,,no_data,100,,
2025,AK,Alaska,02110,Juneau City and Borough,32255,NO2,annual mean,ppb,no2_annual_mean_ppb,,no_data,53,,
2025,AK,Alaska,02110,Juneau City and Borough,32255,Ozone,8-hour,ppb,ozone_8hr_ppb,,no_data,70,,
2025,AK,Alaska,02110,Juneau City and Borough,32255,PM10,24-hour,ug/m3,pm10_24hr_ug_m3,36,reported,150,0.24,FALSE
2025,AK,Alaska,02110,Juneau City and Borough,32255,PM2.5,24-hour,ug/m3,pm25_24hr_ug_m3,24.9,reported,35,0.7114285714285714,FALSE
2025,AK,Alaska,02110,Juneau City and Borough,32255,PM2.5,weighted annual mean,ug/m3,pm25_annual_mean_ug_m3,5.2,reported,9,0.5777777777777778,FALSE
2025,AK,Alaska,02110,Juneau City and Borough,32255,SO2,1-hour,ppb,so2_1hr_ppb,,no_data,75,,
2025,AK,Alaska,02110,Juneau City and Borough,32255,SO2,weighted annual mean,ppb,so2_annual_mean_ppb,,no_data,10,,
2025,AK,Alaska,02170,Matanuska-Susitna Borough,107081,CO,8-hour,ppm,co_8hr_ppm,,no_data,9,,
2025,AK,Alaska,02170,Matanuska-Susitna Borough,107081,Lead,3-month,ug/m3,lead_3mo_ug_m3,,no_data,0.15,,
2025,AK,Alaska,02170,Matanuska-Susitna Borough,107081,NO2,1-hour,ppb,no2_1hr_ppb,,no_data,100,,
2025,AK,Alaska,02170,Matanuska-Susitna Borough,107081,NO2,annual mean,ppb,no2_annual_mean_ppb,,no_data,53,,
2025,AK,Alaska,02170,Matanuska-Susitna Borough,107081,Ozone,8-hour,ppb,ozone_8hr_ppb,,no_data,70,,
2025,AK,Alaska,02170,Matanuska-Susitna Borough,107081,PM10,24-hour,ug/m3,pm10_24hr_ug_m3,64,reported,150,0.4266666666666667,FALSE
2025,AK,Alaska,02170,Matanuska-Susitna Borough,107081,PM2.5,24-hour,ug/m3,pm25_24hr_ug_m3,16.1,reported,35,0.46,FALSE
2025,AK,Alaska,02170,Matanuska-Susitna Borough,107081,PM2.5,weighted annual mean,ug/m3,pm25_annual_mean_ug_m3,2.7,reported,9,0.30000000000000004,FALSE
2025,AK,Alaska,02170,Matanuska-Susitna Borough,107081,SO2,1-hour,ppb,so2_1hr_ppb,,no_data,75,,
2025,AK,Alaska,02170,Matanuska-Susitna Borough,107081,SO2,weighted annual mean,ppb,so2_annual_mean_ppb,,no_data,10,,
2025,AL,Alabama,01003,Baldwin County,231767,CO,8-hour,ppm,co_8hr_ppm,,no_data,9,,
2025,AL,Alabama,01003,Baldwin County,231767,Lead,3-month,ug/m3,lead_3mo_ug_m3,,no_data,0.15,,
2025,AL,Alabama,01003,Baldwin County,231767,NO2,1-hour,ppb,no2_1hr_ppb,,no_data,100,,
2025,AL,Alabama,01003,Baldwin County,231767,NO2,annual mean,ppb,no2_annual_mean_ppb,,no_data,53,,
2025,AL,Alabama,01003,Baldwin County,231767,Ozone,8-hour,ppb,ozone_8hr_ppb,60,reported,70,0.8571428571428571,FALSE
2025,AL,Alabama,01003,Baldwin County,231767,PM10,24-hour,ug/m3,pm10_24hr_ug_m3,,no_data,150,,
