year,state,state_name,county_fips,county_name,population_2020,co_8hr_ppm,lead_3mo_ug_m3,no2_1hr_ppb,no2_annual_mean_ppb,ozone_8hr_ppb,pm10_24hr_ug_m3,pm25_24hr_ug_m3,pm25_annual_mean_ug_m3,so2_1hr_ppb,so2_annual_mean_ppb,co_8hr_ppm_status,lead_3mo_ug_m3_status,no2_1hr_ppb_status,no2_annual_mean_ppb_status,ozone_8hr_ppb_status,pm10_24hr_ug_m3_status,pm25_24hr_ug_m3_status,pm25_annual_mean_ug_m3_status,so2_1hr_ppb_status,so2_annual_mean_ppb_status
2025,AK,Alaska,02020,Anchorage Municipality,291247,2.6,,,,,141,23.8,5.1,,,reported,no_data,no_data,no_data,no_data,reported,reported,reported,no_data,no_data
2025,AK,Alaska,02068,Denali Borough,1619,,,,,51,,,,,,no_data,no_data,no_data,no_data,reported,no_data,no_data,no_data,no_data,no_data
2025,AK,Alaska,02090,Fairbanks North Star Borough,95655,1.8,,,,51,88,56.6,10.2,13.8,1.8,reported,no_data,no_data,no_data,reported,reported,reported,reported,reported,reported
2025,AK,Alaska,02110,Juneau City and Borough,32255,,,,,,36,24.9,5.2,,,no_data,no_data,no_data,no_data,no_data,reported,reported,reported,no_data,no_data
2025,AK,Alaska,02170,Matanuska-Susitna Borough,107081,,,,,,64,16.1,2.7,,,no_data,no_data,no_data,no_data,no_data,reported,reported,reported,no_data,no_data
2025,AL,Alabama,01003,Baldwin County,231767,,,,,60,,12.9,6.7,,,no_data,no_data,no_data,no_data,reported,no_data,reported,reported,no_data,no_data
2025,AL,Alabama,01027,Clay County,14236,,,,,,,17,6.8,,,no_data,no_data,no_data,no_data,no_data,no_data,reported,reported,no_data,no_data
2025,AL,Alabama,01049,DeKalb County,71608,,,,,64,,13.6,6.3,,,no_data,no_data,no_data,no_data,reported,no_data,reported,reported,no_data,no_data
2025,AL,Alabama,01051,Elmore County,87977,,,,,55,,,,,,no_data,no_data,no_data,no_data,reported,no_data,no_data,no_data,no_data,no_data
2025,AL,Alabama,01055,Etowah County,103436,,,,,63,,16.3,8.2,,,no_data,no_data,no_data,no_data,reported,no_data,reported,reported,no_data,no_data
2025,AL,Alabama,01073,Jefferson County,674721,1.1,,47.4,12,64,56,23.2,10.1,10.3,1.3,reported,no_data,reported,reported,reported,reported,reported,reported,reported,reported
2025,AL,Alabama,01089,Madison County,388153,,,,,59,52,15.9,7.5,,,no_data,no_data,no_data,no_data,reported,reported,reported,reported,no_data,no_data
2025,AL,Alabama,01097,Mobile County,414809,,,,,59,25,13.6,7.4,6.5,0.6,no_data,no_data,no_data,no_data,reported,reported,reported,reported,reported,reported
2025,AL,Alabama,01101,Montgomery County,228954,,,,,59,28,16,8.1,,,no_data,no_data,no_data,no_data,reported,reported,reported,reported,no_data,no_data
2025,AL,Alabama,01103,Morgan County,123421,,,,,60,,13.7,6.9,,,no_data,no_data,no_data,no_data,reported,no_data,reported,reported,no_data,no_data
2025,AL,Alabama,01109,Pike County,33009,,0.29000000000000004,,,,,,,,,no_data,reported,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
