season,season_start_year,month,geography_type,geography,fips,age_group,estimate,ci_lower,ci_upper,sample_size
2009-10,2009,1,HHS Regions/National,Region 1,101,50-64 Years,48.5,47,50,13904
2009-10,2009,1,HHS Regions/National,Region 1,101,>=65 Years,71.2,69.7,72.7,12164
2009-10,2009,1,HHS Regions/National,Region 10,110,50-64 Years,42.1,40.6,43.6,10112
2009-10,2009,1,HHS Regions/National,Region 10,110,>=65 Years,66.6,65.2,68,9455
2009-10,2009,1,HHS Regions/National,Region 2,102,50-64 Years,42.3,40,44.6,5152
2009-10,2009,1,HHS Regions/National,Region 2,102,>=65 Years,65.7,63.6,67.8,4550
2009-10,2009,1,HHS Regions/National,Region 3,103,50-64 Years,48.2,46.6,49.8,11028
2009-10,2009,1,HHS Regions/National,Region 3,103,>=65 Years,68,66.5,69.5,9935
2009-10,2009,1,HHS Regions/National,Region 4,104,50-64 Years,40.7,39.6,41.8,22540
2009-10,2009,1,HHS Regions/National,Region 4,104,>=65 Years,65.8,64.8,66.8,24341
2009-10,2009,1,HHS Regions/National,Region 5,105,50-64 Years,43,41.6,44.4,12678
2009-10,2009,1,HHS Regions/National,Region 5,105,>=65 Years,67.2,65.8,68.6,11398
2009-10,2009,1,HHS Regions/National,Region 6,106,50-64 Years,44.2,42.2,46.2,11737
2009-10,2009,1,HHS Regions/National,Region 6,106,>=65 Years,67.8,66,69.6,11762
2009-10,2009,1,HHS Regions/National,Region 7,107,50-64 Years,46.2,44.3,48.1,10567
2009-10,2009,1,HHS Regions/National,Region 7,107,>=65 Years,69.2,67.5,70.9,11224
2009-10,2009,1,HHS Regions/National,Region 8,108,50-64 Years,46.6,45.2,48,12852
2009-10,2009,1,HHS Regions/National,Region 8,108,>=65 Years,69.8,68.4,71.2,11243
2009-10,2009,1,HHS Regions/National,Region 9,109,50-64 Years,40.4,38.5,42.3,9184
2009-10,2009,1,HHS Regions/National,Region 9,109,>=65 Years,63.5,61.7,65.3,8946
2009-10,2009,1,HHS Regions/National,United States,100,50-64 Years,43.2,42.6,43.8,119754
2009-10,2009,1,HHS Regions/National,United States,100,>=65 Years,66.7,66.2,67.2,115018
2009-10,2009,2,HHS Regions/National,Region 1,101,50-64 Years,49.7,48.2,51.2,13904
2009-10,2009,2,HHS Regions/National,Region 1,101,>=65 Years,72.8,71.3,74.3,12164
2009-10,2009,2,HHS Regions/National,Region 10,110,50-64 Years,43.4,41.9,44.9,10112
2009-10,2009,2,HHS Regions/National,Region 10,110,>=65 Years,67.7,66.3,69.1,9455
2009-10,2009,2,HHS Regions/National,Region 2,102,50-64 Years,43.2,40.9,45.5,5152
2009-10,2009,2,HHS Regions/National,Region 2,102,>=65 Years,67.7,65.6,69.8,4550
2009-10,2009,2,HHS Regions/National,Region 3,103,50-64 Years,48.9,47.3,50.5,11028
2009-10,2009,2,HHS Regions/National,Region 3,103,>=65 Years,69.3,67.8,70.8,9935
2009-10,2009,2,HHS Regions/National,Region 4,104,50-64 Years,41.9,40.7,43.1,22540
