country_name,income_usd_per_capita,infant_mortality_per_1000,region,oil_exporting_country,oil_exporter
Algeria,400,86.3,Africa,yes,TRUE
Burundi,68,150,Africa,no,FALSE
Cameroon,100,137,Africa,no,FALSE
Central.African.Republic,122,190,Africa,no,FALSE
Chad,70,160,Africa,no,FALSE
Congo,281,180,Africa,no,FALSE
Dahomey,81,109.6,Africa,no,FALSE
Egypt,210,114,Africa,no,FALSE
Ethiopia,79,84.2,Africa,no,FALSE
Ghana,217,63.7,Africa,no,FALSE
Guinea,79,216,Africa,no,FALSE
Ivory.Coast,387,138,Africa,no,FALSE
Kenya,169,55,Africa,no,FALSE
Liberia,197,159.2,Africa,no,FALSE
Libya,3010,300,Africa,yes,TRUE
Madagascar,120,102,Africa,no,FALSE
Malawi,130,148.3,Africa,no,FALSE
Mali,50,120,Africa,no,FALSE
Mauritania,174,187,Africa,no,FALSE
Moroco,279,149,Africa,no,FALSE
Niger,70,200,Africa,no,FALSE
Nigeria,220,58,Africa,yes,TRUE
Rwanda,61,132.9,Africa,no,FALSE
Sierra.Leone,148,170,Africa,no,FALSE
Somalia,85,158,Africa,no,FALSE
South.Africa,1000,71.5,Africa,no,FALSE
Sudan,125,129.4,Africa,no,FALSE
Tanzania,120,162.5,Africa,no,FALSE
Togo,160,127,Africa,no,FALSE
Tunisia,434,76.3,Africa,no,FALSE
Uganda,134,160,Africa,no,FALSE
Upper.Volta,82,180,Africa,no,FALSE
Zaire,118,104,Africa,no,FALSE
Zambia,310,259,Africa,no,FALSE
Argentina,1191,59.6,Americas,no,FALSE
Bolivia,200,60.4,Americas,no,FALSE
Brazil,425,170,Americas,no,FALSE
Canada,4751,16.8,Americas,no,FALSE
Chile,590,78,Americas,no,FALSE
Colombia,426,62.8,Americas,no,FALSE
Costa.Rica,725,54.4,Americas,no,FALSE
Dominican.Republic,406,48.8,Americas,no,FALSE
Ecuador,250,78.5,Americas,yes,TRUE
El.Salvador,319,58.2,Americas,no,FALSE
Guatemala,302,79.1,Americas,no,FALSE
Haiti,100,,Americas,no,FALSE
Honduras,284,39.3,Americas,no,FALSE
Jamaica,727,26.2,Americas,no,FALSE
Mexico,684,60.9,Americas,no,FALSE
Nicaragua,507,46,Americas,no,FALSE
Panama,754,34.1,Americas,no,FALSE
Paraguay,347,38.6,Americas,no,FALSE
Peru,335,65.1,Americas,no,FALSE
Trinidad.and.Tobago,732,26.2,Americas,no,FALSE
United.States,5523,17.6,Americas,no,FALSE
Uruguay,799,40.4,Americas,no,FALSE
Venezuela,1240,51.7,Americas,yes,TRUE
Afganistan,75,400,Asia,no,FALSE
Australia,3426,26.7,Asia,no,FALSE
Bangladesh,100,124.3,Asia,no,FALSE
Burma,73,200,Asia,no,FALSE
Cambodia,123,100,Asia,no,FALSE
India,93,60.6,Asia,no,FALSE
Indonesia,110,125,Asia,yes,TRUE
Iran,1280,,Asia,yes,TRUE
Iraq,560,28.1,Asia,yes,TRUE
Israel,2526,22.1,Asia,no,FALSE
Jordan,334,21.3,Asia,no,FALSE
Laos,71,,Asia,no,FALSE
Lebanon,631,13.6,Asia,no,FALSE
Malaysia,295,32,Asia,no,FALSE
Nepal,90,,Asia,no,FALSE
New.Zealand,3723,16.2,Asia,no,FALSE
Pakistan,102,124.3,Asia,no,FALSE
Papua.New.Guinea,477,10.2,Asia,no,FALSE
Philippines,230,67.9,Asia,no,FALSE
Saudi.Arabia,1530,650,Asia,yes,TRUE
Singapore,1268,20.4,Asia,no,FALSE
South.Korea,344,58,Asia,no,FALSE
South.Vietnam,130,100,Asia,no,FALSE
Southern.Yemen,96,80,Asia,no,FALSE
Sri.Lanka,162,45.1,Asia,no,FALSE
Syria,334,21.7,Asia,no,FALSE
Taiwan,261,19.1,Asia,no,FALSE
Thailand,210,27,Asia,no,FALSE
Turkey,435,153,Asia,no,FALSE
Yemen,77,50,Asia,no,FALSE
Austria,3350,23.7,Europe,no,FALSE
Belgium,3346,17,Europe,no,FALSE
Britain,2503,17.5,Europe,no,FALSE
Denmark,5029,13.5,Europe,no,FALSE
Finland,3312,10.1,Europe,no,FALSE
France,3403,12.9,Europe,no,FALSE
Greece,1760,27.8,Europe,no,FALSE
Ireland,2009,17.8,Europe,no,FALSE
Italy,2298,25.7,Europe,no,FALSE
Japan,3292,11.7,Europe,no,FALSE
Netherlands,4103,11.6,Europe,no,FALSE
Norway,4102,11.3,Europe,no,FALSE
Portugal,956,44.8,Europe,no,FALSE
Spain,1256,15.1,Europe,no,FALSE
Sweden,5596,9.6,Europe,no,FALSE
Switzerland,2963,12.8,Europe,no,FALSE
West.Germany,5040,20.4,Europe,no,FALSE
Yugoslavia,406,43.3,Europe,no,FALSE
