year,state,state_name,county_fips,county_name,tract_count,total_population,total_adult_population,measure_id,measure_key,measure,estimate,ci_lower,ci_upper
2023,AK,Alaska,02013,Aleutians East,1,3420,3120,CSMOKING,current_smoking,Current cigarette smoking among adults,19.2,16.7,22.1
2023,AK,Alaska,02013,Aleutians East,1,3420,3120,DIABETES,diabetes,Diagnosed diabetes among adults,11.9,10.2,13.6
2023,AK,Alaska,02013,Aleutians East,1,3420,3120,MHLTH,frequent_mental_distress,Frequent mental distress among adults,15.1,13.2,17
2023,AK,Alaska,02013,Aleutians East,1,3420,3120,BPHIGH,high_blood_pressure,High blood pressure among adults,32.6,28.4,37.2
2023,AK,Alaska,02013,Aleutians East,1,3420,3120,ACCESS2,lack_health_insurance,Current lack of health insurance among adults aged 18-64 years,15.9,13.5,18.6
2023,AK,Alaska,02013,Aleutians East,1,3420,3120,OBESITY,obesity,Obesity among adults,34.7,26.8,43.2
2023,AK,Alaska,02013,Aleutians East,1,3420,3120,LPA,physical_inactivity,No leisure-time physical activity among adults,26.9,22.4,31.9
2023,AK,Alaska,02016,Aleutians West,2,5232,4579,CSMOKING,current_smoking,Current cigarette smoking among adults,17.098100021838828,14.527254859139552,19.804367765887747
2023,AK,Alaska,02016,Aleutians West,2,5232,4579,DIABETES,diabetes,Diagnosed diabetes among adults,10.247958069447478,8.912535488097838,11.747958069447478
2023,AK,Alaska,02016,Aleutians West,2,5232,4579,MHLTH,frequent_mental_distress,Frequent mental distress among adults,14.67412098711509,12.850141952391352,16.51581131251365
2023,AK,Alaska,02016,Aleutians West,2,5232,4579,BPHIGH,high_blood_pressure,High blood pressure among adults,29.536514522821573,25.6542258134964,33.501091941471934
2023,AK,Alaska,02016,Aleutians West,2,5232,4579,ACCESS2,lack_health_insurance,Current lack of health insurance among adults aged 18-64 years,12.512535488097837,10.52397903472374,14.971937104171216
2023,AK,Alaska,02016,Aleutians West,2,5232,4579,OBESITY,obesity,Obesity among adults,33.11581131251365,26.49183227778991,40.13979034723738
2023,AK,Alaska,02016,Aleutians West,2,5232,4579,LPA,physical_inactivity,No leisure-time physical activity among adults,24.536514522821577,20.3656693601223,29.007359685520857
2023,AK,Alaska,02020,Anchorage,60,291242,222910,CSMOKING,current_smoking,Current cigarette smoking among adults,14.357117222197301,12.128950697590954,16.86976447893769
2023,AK,Alaska,02020,Anchorage,60,291242,222910,DIABETES,diabetes,Diagnosed diabetes among adults,8.948486833251087,7.8752815037459065,10.226242429680143
2023,AK,Alaska,02020,Anchorage,60,291242,222910,MHLTH,frequent_mental_distress,Frequent mental distress among adults,16.420694002063616,14.660883764748103,18.445337580189314
2023,AK,Alaska,02020,Anchorage,60,291242,222910,BPHIGH,high_blood_pressure,High blood pressure among adults,31.37814678569826,28.84437216813961,34.24119958727737
2023,AK,Alaska,02020,Anchorage,60,291242,222910,ACCESS2,lack_health_insurance,Current lack of health insurance among adults aged 18-64 years,9.568746130725406,7.9017957920236865,11.557694136647076
2023,AK,Alaska,02020,Anchorage,60,291242,222910,OBESITY,obesity,Obesity among adults,35.22257861917365,31.407054416580678,39.51435646673544
2023,AK,Alaska,02020,Anchorage,60,291242,222910,LPA,physical_inactivity,No leisure-time physical activity among adults,19.95534475797407,17.220494369925085,23.12021712798887
2023,AK,Alaska,02050,Bethel,3,18666,12130,CSMOKING,current_smoking,Current cigarette smoking among adults,30.771393239901073,27.315894476504532,34.29854905193735
2023,AK,Alaska,02050,Bethel,3,18666,12130,DIABETES,diabetes,Diagnosed diabetes among adults,13.443825226710635,11.770436933223413,15.190057708161582
2023,AK,Alaska,02050,Bethel,3,18666,12130,MHLTH,frequent_mental_distress,Frequent mental distress among adults,21.94446826051113,19.561813685078317,24.463544929925803
2023,AK,Alaska,02050,Bethel,3,18666,12130,BPHIGH,high_blood_pressure,High blood pressure among adults,36.573124484748554,32.882390766694144,40.317625721352016
2023,AK,Alaska,02050,Bethel,3,18666,12130,ACCESS2,lack_health_insurance,Current lack of health insurance among adults aged 18-64 years,15.937477328936522,13.62013190436933,18.510321516900248
2023,AK,Alaska,02050,Bethel,3,18666,12130,OBESITY,obesity,Obesity among adults,38.68822753503709,32.48649629018961,44.97896125309151
2023,AK,Alaska,02050,Bethel,3,18666,12130,LPA,physical_inactivity,No leisure-time physical activity among adults,33.06911788953009,28.55757625721352,37.78700741962078
2023,AK,Alaska,02060,Bristol Bay,1,844,658,CSMOKING,current_smoking,Current cigarette smoking among adults,17.4,14.9,20.1
2023,AK,Alaska,02060,Bristol Bay,1,844,658,DIABETES,diabetes,Diagnosed diabetes among adults,10.8,9.3,12.4
2023,AK,Alaska,02060,Bristol Bay,1,844,658,MHLTH,frequent_mental_distress,Frequent mental distress among adults,15.799999999999999,14,17.8
