state,state_name,rank,total_population,race_ethnicity_population_american_indian_and_alaska_native,race_ethnicity_population_asian,race_ethnicity_population_black,race_ethnicity_population_hispanic_or_latino,race_ethnicity_population_native_hawaiian_and_other_pacific_islander,race_ethnicity_population_other,race_ethnicity_population_white,share_american_indian_and_alaska_native,share_asian,share_black,share_hispanic_or_latino,share_native_hawaiian_and_other_pacific_islander,share_other,share_white,state_population_weight
CA,California,1,39538223,156085,5978795,2119286,15579652,138167,223929,13714587,0.00411719697399936,0.15770815057284523,0.05590234747886872,0.41095874728746,0.0036445574802612,0.00590678028760421,0.3617622199189613,0.119438229994019
TX,Texas,2,29145505,85425,1561518,3444712,11441717,27857,113584,11584597,0.00302288688971213,0.05525656763534695,0.1218961046957456,0.4048816659654253,9.857601414891535e-4,0.00401933373697469,0.40993768093530614,0.08804360098535108
FL,Florida,3,21538187,42169,629626,3127052,5697240,11521,137933,11100503,0.00203262848570069,0.03034920778149318,0.1507300379773609,0.27461813924621004,5.553347905750128e-4,0.00664864106139946,0.5350660106572608,0.06506319043625684
NY,New York,4,20215751,54908,1916329,2759022,3948032,6097,197107,10598907,0.00281862766487057,0.09837214858297072,0.1416306501272407,0.2026668648829731,3.12981220818749e-4,0.01011822035294754,0.5440805071681786,0.061068336769708124
IL,Illinois,5,12812508,16561,747280,1775612,2337410,2959,45080,7472751,0.00133581735188103,0.06027592480609031,0.14322162428646776,0.18853649154400431,2.3867420712613913e-4,0.00363617210451042,0.6027552956999199,0.038704401998648455
PA,Pennsylvania,6,12801989,15028,506674,1368978,1049615,3162,54541,9553417,0.00119731520310658,0.04036787884075222,0.1090696148601572,0.08362523269288762,2.519237870789867e-4,0.00434540647409077,0.7611426281419267,0.03867262589325022
OH,Ohio,7,11799448,18949,296604,1457180,521308,4493,45217,8954135,0.00167721642792288,0.02625305300478337,0.12897811148032473,0.04614208357209481,3.976850182414657e-4,0.00400225316488412,0.7925495973317486,0.035644120476190026
GA,Georgia,8,10711908,20375,475680,3278119,1123457,6101,55887,5362156,0.00197398218814109,0.04608509679778914,0.3175925652322396,0.1088433917615914,5.910805069864437e-4,0.00541447570790876,0.5194994078053435,0.03235884757336646
NC,North Carolina,9,10439388,100886,340059,2107526,1118596,6980,46340,6312148,0.01005588318406065,0.03389562059838316,0.21006914005283808,0.11149684501474452,6.95736421552479e-4,0.00461897217403178,0.6291678025543893,0.03153561112093485
MI,Michigan,10,9986857,47406,332288,1358458,564422,2603,37183,7295651,0.00491864970894928,0.03447682307065223,0.14094796115090552,0.05856208298579447,2.700764711723197e-4,0.00385795367944693,0.7569664529330793,0.030168592131299847
NJ,New Jersey,11,9288994,11206,942921,1154142,2002575,1944,70354,4816381,0.0012451771054977,0.10477455305131173,0.12824479697423963,0.22252012690005904,2.1601144860677616e-4,0.00781752543995942,0.5351818090803258,0.028060467001389075
VA,Virginia,12,8631393,19080,610612,1578090,908749,6195,45394,5058363,0.00231933865298208,0.07422515794416643,0.19183045780317057,0.1104662831005668,7.530557104415094e-4,0.00551803243257173,0.6148876743561009,0.02607396650837762
WA,Washington,13,7797095,91191,723062,296170,1059213,62490,43221,4918820,0.01267568573262199,0.10050670216579628,0.0411680740800151,0.14723219519368955,0.00868620369807929,0.00600778380596391,0.6837233553238339,0.023553694507090408
AZ,Arizona,14,7151502,263930,248837,317161,2192253,14323,31611,3816547,0.03833594154658572,0.0361436770606894,0.04606776628976121,0.31842565401177286,0.00208042166775943,0.0045915108105525,0.5543550286128789,0.021603468134586797
TN,Tennessee,15,6910840,15539,134302,1083772,479187,3594,23977,4900246,0.00233999340723911,0.02022432554083453,0.16320350955340446,0.07216001163747285,5.412147696516754e-4,0.00361065846742855,0.7379202866239688,0.02087646926802619
MA,Massachusetts,16,6892503,9387,504900,457055,887685,1607,92108,4748897,0.00140070212674839,0.07533977882127044,0.06820048050932018,0.13245789574759248,2.397920866820788e-4,0.01374410051033784,0.7086172501980486,0.020821076317680386
IN,Indiana,17,6785528,12938,166651,637500,554191,2761,25139,5121004,0.00198429982957536,0.02555924802122148,0.09777331437272324,0.08499622096554331,4.2345430742445306e-4,0.00385556603924061,0.7854078964642716,0.020497923083059543
