season,season_start_year,month,geography,estimate_50_64_years,estimate_ge_65_years,estimate_6_months_4_years,estimate_5_12_years,estimate_13_17_years,estimate_18_49_years,ci_lower_50_64_years,ci_lower_ge_65_years,ci_lower_6_months_4_years,ci_lower_5_12_years,ci_lower_13_17_years,ci_lower_18_49_years,ci_upper_50_64_years,ci_upper_ge_65_years,ci_upper_6_months_4_years,ci_upper_5_12_years,ci_upper_13_17_years,ci_upper_18_49_years,sample_size_50_64_years,sample_size_ge_65_years,sample_size_6_months_4_years,sample_size_5_12_years,sample_size_13_17_years,sample_size_18_49_years
2009-10,2009,1,Region 1,48.5,71.2,,,,,47,69.7,,,,,50,72.7,,,,,13904,12164,,,,
2009-10,2009,1,Region 10,42.1,66.6,,,,,40.6,65.2,,,,,43.6,68,,,,,10112,9455,,,,
2009-10,2009,1,Region 2,42.3,65.7,,,,,40,63.6,,,,,44.6,67.8,,,,,5152,4550,,,,
2009-10,2009,1,Region 3,48.2,68,,,,,46.6,66.5,,,,,49.8,69.5,,,,,11028,9935,,,,
2009-10,2009,1,Region 4,40.7,65.8,,,,,39.6,64.8,,,,,41.8,66.8,,,,,22540,24341,,,,
2009-10,2009,1,Region 5,43,67.2,,,,,41.6,65.8,,,,,44.4,68.6,,,,,12678,11398,,,,
2009-10,2009,1,Region 6,44.2,67.8,,,,,42.2,66,,,,,46.2,69.6,,,,,11737,11762,,,,
2009-10,2009,1,Region 7,46.2,69.2,,,,,44.3,67.5,,,,,48.1,70.9,,,,,10567,11224,,,,
2009-10,2009,1,Region 8,46.6,69.8,,,,,45.2,68.4,,,,,48,71.2,,,,,12852,11243,,,,
2009-10,2009,1,Region 9,40.4,63.5,,,,,38.5,61.7,,,,,42.3,65.3,,,,,9184,8946,,,,
2009-10,2009,1,United States,43.2,66.7,,,,,42.6,66.2,,,,,43.8,67.2,,,,,119754,115018,,,,
2009-10,2009,2,Region 1,49.7,72.8,,,,,48.2,71.3,,,,,51.2,74.3,,,,,13904,12164,,,,
2009-10,2009,2,Region 10,43.4,67.7,,,,,41.9,66.3,,,,,44.9,69.1,,,,,10112,9455,,,,
2009-10,2009,2,Region 2,43.2,67.7,,,,,40.9,65.6,,,,,45.5,69.8,,,,,5152,4550,,,,
2009-10,2009,2,Region 3,48.9,69.3,,,,,47.3,67.8,,,,,50.5,70.8,,,,,11028,9935,,,,
2009-10,2009,2,Region 4,41.9,67.6,,,,,40.7,66.6,,,,,43.1,68.6,,,,,22540,24341,,,,
2009-10,2009,2,Region 5,43.6,68.1,,,,,42.2,66.7,,,,,45,69.5,,,,,12678,11398,,,,
