season,season_start_year,n_months,mean_estimate_50_64_years,mean_estimate_ge_65_years,mean_estimate_13_17_years,mean_estimate_18_49_years,mean_estimate_5_12_years,mean_estimate_6_months_4_years,mean_ci_lower_50_64_years,mean_ci_lower_ge_65_years,mean_ci_lower_13_17_years,mean_ci_lower_18_49_years,mean_ci_lower_5_12_years,mean_ci_lower_6_months_4_years,mean_ci_upper_50_64_years,mean_ci_upper_ge_65_years,mean_ci_upper_13_17_years,mean_ci_upper_18_49_years,mean_ci_upper_5_12_years,mean_ci_upper_6_months_4_years,total_sample_size_50_64_years,total_sample_size_ge_65_years,total_sample_size_13_17_years,total_sample_size_18_49_years,total_sample_size_5_12_years,total_sample_size_6_months_4_years
2009-10,2009,10,33.730000000000004,52.61,,,,,33.23,52.120000000000005,,,,,34.23,53.1,,,,,1197540,1150180,,,,
2010-11,2010,10,32.9,50.03,25.77,21.91,40.730000000000004,47.25,32.4,49.49,24.62,21.41,39.55,45.86,33.4,50.57,26.919999999999998,22.41,41.910000000000004,48.64,1288200,1326360,328460,1161130,460580,378950
2011-12,2011,10,31.85,49.11,25.52,20.86,41.1,50.9,31.169999999999998,48.47,24.21,20.36,39.9,49.29,32.53,49.75,26.830000000000002,21.36,42.300000000000004,52.51,1188740,1171740,304640,1314520,405840,252060
2012-13,2012,11,29.845454545454544,44.77272727272727,29.045454545454547,19.709090909090907,40.06363636363636,47.39090909090909,29.263636363636362,44.17272727272727,27.900000000000002,19.254545454545454,39.10909090909091,46.127272727272725,30.42727272727273,45.37272727272727,30.19090909090909,20.163636363636364,41.018181818181816,48.654545454545456,1238270,1274130,270479,1323146,522786,315854
2013-14,2013,11,30.627272727272725,44.763636363636365,32.00909090909091,20.972727272727273,41.981818181818184,48.6,30.136363636363637,44.27272727272727,30.754545454545454,20.518181818181816,41.17272727272727,47.481818181818184,31.118181818181817,45.25454545454546,33.263636363636365,21.427272727272726,42.79090909090909,49.71818181818182,1251261,1332243,308814,1316788,688490,398156
2014-15,2014,11,31.5,45.28181818181818,32.654545454545456,22.12727272727273,42.581818181818186,48.30909090909091,30.881818181818183,44.75454545454546,31.51818181818182,21.563636363636363,41.74545454545454,47.236363636363635,32.11818181818182,45.80909090909091,33.79090909090909,22.69090909090909,43.418181818181814,49.38181818181818,1127555,1266001,345862,1161809,649825,413886
2015-16,2015,11,29.245454545454546,42.836363636363636,32.47272727272727,21.2,42.13636363636363,47.763636363636365,28.62727272727273,42.236363636363635,31.4,20.70909090909091,41.18181818181818,46.63636363636364,29.863636363636363,43.43636363636364,33.54545454545455,21.69090909090909,43.09090909090909,48.89090909090909,1098460,1246509,366388,1165868,603075,425843
2016-17,2016,11,,43.9,33.690909090909095,21.763636363636365,41.10909090909091,47.481818181818184,,43.1,32.60909090909091,21.18181818181818,40.3,46.47272727272727,,44.7,34.77272727272727,22.345454545454544,41.91818181818182,48.49090909090909,,1311959,395395,1182797,694430,485034
2016-17,2016,10,33.06,,,,,,32.22,,,,,,33.9,,,,,,990050,,,,,
2017-18,2017,11,26.363636363636363,40.40909090909091,32.58181818181818,17.509090909090908,40.49090909090909,46.07272727272727,25.78181818181818,39.79090909090909,31.645454545454545,17.09090909090909,39.79090909090909,45.14545454545455,26.945454545454545,41.02727272727273,33.518181818181816,17.927272727272726,41.19090909090909,47,1019359,1231868,346863,1193346,575553,431255
2018-19,2018,11,31.363636363636363,45.57272727272727,36.07272727272727,22.236363636363635,43.77272727272727,50.59090909090909,30.763636363636362,45.00909090909091,35.1,21.8,43.03636363636364,49.63636363636364,31.963636363636365,46.13636363636364,37.04545454545455,22.672727272727272,44.50909090909091,51.54545454545455,948794,1232605,373659,1142229,650551,508728
2019-20,2019,11,34.2,48.19090909090909,37.090909090909086,25.163636363636364,44.92727272727273,52.00909090909091,33.21818181818182,47.31818181818181,36.22727272727273,24.545454545454543,44.24545454545455,51.14545454545455,35.18181818181818,49.06363636363636,37.95454545454545,25.78181818181818,45.60909090909091,52.872727272727275,877734,1168915,402556,1100627,734360,551947
2020-21,2020,11,36.04545454545455,50.54545454545455,35.945454545454545,24.6,41.68181818181818,47.63636363636364,35.22727272727273,49.872727272727275,35.07272727272727,24.054545454545455,41.03636363636364,46.763636363636365,36.86363636363636,51.21818181818182,36.81818181818182,25.145454545454545,42.32727272727273,48.50909090909091,870408,1159433,374704,1178980,716529,512380
2021-22,2021,11,33.945454545454545,48.53636363636364,34.10909090909091,23.581818181818182,39.49090909090909,44.69090909090909,33.30909090909091,47.91818181818182,33.38181818181818,23.12727272727273,38.90909090909091,43.90909090909091,34.58181818181818,49.154545454545456,34.836363636363636,24.03636363636364,40.07272727272727,45.472727272727276,851862,1195986,405537,1162381,796862,537207
2022-23,2022,11,33.054545454545455,47.07272727272727,34.127272727272725,22.618181818181817,40.9,45.10909090909091,32.418181818181814,46.54545454545455,33.35454545454546,22.163636363636364,40.263636363636365,44.22727272727273,33.69090909090909,47.6,34.9,23.07272727272727,41.53636363636364,45.99090909090909,841346,1253516,352484,1174943,626703,464618
2023-24,2023,11,30.69090909090909,,32.89090909090909,21.272727272727273,39.236363636363635,43.45454545454545,29.945454545454545,,32.1,20.727272727272727,38.6,42.56363636363636,31.436363636363637,,33.68181818181818,21.81818181818182,39.872727272727275,44.345454545454544,834680,,372702,1225169,651816,490732
