year,state,state_name,county_fips,county_name,population_2020,pollutant,statistic,unit,metric_key,value,status,naaqs_standard,value_as_fraction_of_standard,exceeds_standard
2025,AK,Alaska,02040,Monitoring County 040,57265,Construction dust,24-hour,index,pm10_24hr_ug_m3,145.503,reported,150,0.97,FALSE
2025,AK,Alaska,02040,Monitoring County 040,57265,Echo,3-month,index,lead_3mo_ug_m3,0.057,reported,0.15,0.382,FALSE
2025,AK,Alaska,02040,Monitoring County 040,57265,Fine dust,weighted annual mean,index,pm25_annual_mean_ug_m3,4.499,reported,9,0.5,FALSE
2025,AK,Alaska,02040,Monitoring County 040,57265,Fine dust spike,24-hour,index,pm25_24hr_ug_m3,11.467,reported,35,0.328,FALSE
2025,AK,Alaska,02040,Monitoring County 040,57265,Generator,1-hour,index,so2_1hr_ppb,,no_data,75,,
2025,AK,Alaska,02040,Monitoring County 040,57265,Generator annual,weighted annual mean,index,so2_annual_mean_ppb,,insufficient_data,10,,
2025,AK,Alaska,02040,Monitoring County 040,57265,Hum,8-hour,index,co_8hr_ppm,1.638,reported,9,0.182,FALSE
2025,AK,Alaska,02040,Monitoring County 040,57265,Siren,8-hour,index,ozone_8hr_ppb,35.764,reported,70,0.511,FALSE
2025,AK,Alaska,02040,Monitoring County 040,57265,Traffic rumble,annual mean,index,no2_annual_mean_ppb,27.282,reported,53,0.515,FALSE
2025,AK,Alaska,02040,Monitoring County 040,57265,Traffic spike,1-hour,index,no2_1hr_ppb,16.609,reported,100,0.166,FALSE
2025,AL,Alabama,01036,Monitoring County 036,143775,Construction dust,24-hour,index,pm10_24hr_ug_m3,,insufficient_data,150,,
2025,AL,Alabama,01036,Monitoring County 036,143775,Echo,3-month,index,lead_3mo_ug_m3,0.035,reported,0.15,0.232,FALSE
2025,AL,Alabama,01036,Monitoring County 036,143775,Fine dust,weighted annual mean,index,pm25_annual_mean_ug_m3,,no_data,9,,
2025,AL,Alabama,01036,Monitoring County 036,143775,Fine dust spike,24-hour,index,pm25_24hr_ug_m3,,no_data,35,,
2025,AL,Alabama,01036,Monitoring County 036,143775,Generator,1-hour,index,so2_1hr_ppb,,insufficient_data,75,,
2025,AL,Alabama,01036,Monitoring County 036,143775,Generator annual,weighted annual mean,index,so2_annual_mean_ppb,,no_data,10,,
2025,AL,Alabama,01036,Monitoring County 036,143775,Hum,8-hour,index,co_8hr_ppm,,no_data,9,,
2025,AL,Alabama,01036,Monitoring County 036,143775,Siren,8-hour,index,ozone_8hr_ppb,42.116,reported,70,0.602,FALSE
2025,AL,Alabama,01036,Monitoring County 036,143775,Traffic rumble,annual mean,index,no2_annual_mean_ppb,13.99,reported,53,0.264,FALSE
2025,AL,Alabama,01036,Monitoring County 036,143775,Traffic spike,1-hour,index,no2_1hr_ppb,,no_data,100,,
2025,AL,Alabama,01060,Monitoring County 060,193341,Construction dust,24-hour,index,pm10_24hr_ug_m3,,no_data,150,,
2025,AL,Alabama,01060,Monitoring County 060,193341,Echo,3-month,index,lead_3mo_ug_m3,,insufficient_data,0.15,,
2025,AL,Alabama,01060,Monitoring County 060,193341,Fine dust,weighted annual mean,index,pm25_annual_mean_ug_m3,2.399,reported,9,0.267,FALSE
2025,AL,Alabama,01060,Monitoring County 060,193341,Fine dust spike,24-hour,index,pm25_24hr_ug_m3,,no_data,35,,
2025,AL,Alabama,01060,Monitoring County 060,193341,Generator,1-hour,index,so2_1hr_ppb,26.236,reported,75,0.35,FALSE
