year,state,state_name,county_fips,county_name,tract_count,total_population,total_adult_population,measure_id,measure_key,measure,estimate,ci_lower,ci_upper
2023,AK,Alaska,02172,County 172,46,34547,26582,CSMOKING,current_smoking,Current smoking,19.5,13.1,25.9
2023,AK,Alaska,02172,County 172,46,34547,26582,DIABETES,diabetes,Diabetes,12.5,7.5,17.5
2023,AK,Alaska,02172,County 172,46,34547,26582,MHLTH,frequent_mental_distress,Frequent mental distress,16.2,10.5,22
2023,AK,Alaska,02172,County 172,46,34547,26582,BPHIGH,high_blood_pressure,High blood pressure,30.6,27.5,33.6
2023,AK,Alaska,02172,County 172,46,34547,26582,ACCESS2,lack_health_insurance,Lack of health insurance,14.7,11.4,18
2023,AK,Alaska,02172,County 172,46,34547,26582,OBESITY,obesity,Obesity,35.2,29.5,40.9
2023,AK,Alaska,02172,County 172,46,34547,26582,LPA,physical_inactivity,Physical inactivity,25.5,22,29
2023,AK,Alaska,02186,County 186,30,160979,123289,CSMOKING,current_smoking,Current smoking,13.3,10.1,16.4
2023,AK,Alaska,02186,County 186,30,160979,123289,DIABETES,diabetes,Diabetes,7.8,2.2,13.5
2023,AK,Alaska,02186,County 186,30,160979,123289,MHLTH,frequent_mental_distress,Frequent mental distress,14.4,9.9,18.9
2023,AK,Alaska,02186,County 186,30,160979,123289,BPHIGH,high_blood_pressure,High blood pressure,31.6,28,35.3
2023,AK,Alaska,02186,County 186,30,160979,123289,ACCESS2,lack_health_insurance,Lack of health insurance,7.2,2.4,12.1
2023,AK,Alaska,02186,County 186,30,160979,123289,OBESITY,obesity,Obesity,26.5,22.2,30.8
2023,AK,Alaska,02186,County 186,30,160979,123289,LPA,physical_inactivity,Physical inactivity,24.1,21.2,27
2023,AK,Alaska,02276,County 276,54,41359,34169,CSMOKING,current_smoking,Current smoking,4.4,0.9,7.8
2023,AK,Alaska,02276,County 276,54,41359,34169,DIABETES,diabetes,Diabetes,1,0,6.6
2023,AK,Alaska,02276,County 276,54,41359,34169,MHLTH,frequent_mental_distress,Frequent mental distress,5,1.2,8.8
2023,AK,Alaska,02276,County 276,54,41359,34169,BPHIGH,high_blood_pressure,High blood pressure,25.3,22,28.7
2023,AK,Alaska,02276,County 276,54,41359,34169,ACCESS2,lack_health_insurance,Lack of health insurance,3.7,0,7.4
2023,AK,Alaska,02276,County 276,54,41359,34169,OBESITY,obesity,Obesity,29.5,24.9,34.1
2023,AK,Alaska,02276,County 276,54,41359,34169,LPA,physical_inactivity,Physical inactivity,21.3,15,27.6
2023,AK,Alaska,02317,County 317,22,261565,213839,CSMOKING,current_smoking,Current smoking,13.2,10.8,15.6
2023,AK,Alaska,02317,County 317,22,261565,213839,DIABETES,diabetes,Diabetes,7.6,3.7,11.4
2023,AK,Alaska,02317,County 317,22,261565,213839,MHLTH,frequent_mental_distress,Frequent mental distress,11.4,9.3,13.6
2023,AK,Alaska,02317,County 317,22,261565,213839,BPHIGH,high_blood_pressure,High blood pressure,29.3,24.1,34.5
2023,AK,Alaska,02317,County 317,22,261565,213839,ACCESS2,lack_health_insurance,Lack of health insurance,10.5,6.9,14.2
2023,AK,Alaska,02317,County 317,22,261565,213839,OBESITY,obesity,Obesity,33.2,30.6,35.7
2023,AK,Alaska,02317,County 317,22,261565,213839,LPA,physical_inactivity,Physical inactivity,20.3,17.2,23.4
2023,AK,Alaska,02356,County 356,17,531384,361707,CSMOKING,current_smoking,Current smoking,9.7,6.3,13
2023,AK,Alaska,02356,County 356,17,531384,361707,DIABETES,diabetes,Diabetes,4.8,0,10.2
2023,AK,Alaska,02356,County 356,17,531384,361707,MHLTH,frequent_mental_distress,Frequent mental distress,10.1,5.8,14.4
2023,AK,Alaska,02356,County 356,17,531384,361707,BPHIGH,high_blood_pressure,High blood pressure,30.4,28.5,32.2
2023,AK,Alaska,02356,County 356,17,531384,361707,ACCESS2,lack_health_insurance,Lack of health insurance,8.1,4.4,11.8
2023,AK,Alaska,02356,County 356,17,531384,361707,OBESITY,obesity,Obesity,37.3,33.5,41.2
2023,AK,Alaska,02356,County 356,17,531384,361707,LPA,physical_inactivity,Physical inactivity,21.7,18.3,25.1
2023,AK,Alaska,02494,County 494,79,60499,47459,CSMOKING,current_smoking,Current smoking,11.5,6.4,16.5
2023,AK,Alaska,02494,County 494,79,60499,47459,DIABETES,diabetes,Diabetes,13,9.2,16.8
2023,AK,Alaska,02494,County 494,79,60499,47459,MHLTH,frequent_mental_distress,Frequent mental distress,19,15.8,22.3
2023,AK,Alaska,02494,County 494,79,60499,47459,BPHIGH,high_blood_pressure,High blood pressure,35.6,31.9,39.4
2023,AK,Alaska,02494,County 494,79,60499,47459,ACCESS2,lack_health_insurance,Lack of health insurance,19,15.6,22.4
2023,AK,Alaska,02494,County 494,79,60499,47459,OBESITY,obesity,Obesity,36.8,34,39.7
2023,AK,Alaska,02494,County 494,79,60499,47459,LPA,physical_inactivity,Physical inactivity,28.1,22.2,33.9
2023,AK,Alaska,02500,County 500,23,5575,4005,CSMOKING,current_smoking,Current smoking,20.9,10.4,31.4
2023,AK,Alaska,02500,County 500,23,5575,4005,DIABETES,diabetes,Diabetes,15.2,1.7,28.7
2023,AK,Alaska,02500,County 500,23,5575,4005,MHLTH,frequent_mental_distress,Frequent mental distress,16.7,4.9,28.4
2023,AK,Alaska,02500,County 500,23,5575,4005,BPHIGH,high_blood_pressure,High blood pressure,31.4,18.7,44.2
2023,AK,Alaska,02500,County 500,23,5575,4005,ACCESS2,lack_health_insurance,Lack of health insurance,15,4.2,25.8
2023,AK,Alaska,02500,County 500,23,5575,4005,OBESITY,obesity,Obesity,41.6,30.2,52.9
2023,AK,Alaska,02500,County 500,23,5575,4005,LPA,physical_inactivity,Physical inactivity,32.2,20.3,44.2
2023,AL,Alabama,01090,County 090,65,164219,111977,CSMOKING,current_smoking,Current smoking,23.2,21.4,25.1
2023,AL,Alabama,01090,County 090,65,164219,111977,DIABETES,diabetes,Diabetes,14.5,10.2,18.9
2023,AL,Alabama,01090,County 090,65,164219,111977,MHLTH,frequent_mental_distress,Frequent mental distress,18.1,14.8,21.4
2023,AL,Alabama,01090,County 090,65,164219,111977,BPHIGH,high_blood_pressure,High blood pressure,38.6,35.1,42.2
2023,AL,Alabama,01090,County 090,65,164219,111977,ACCESS2,lack_health_insurance,Lack of health insurance,12.8,7.8,17.7
2023,AL,Alabama,01090,County 090,65,164219,111977,OBESITY,obesity,Obesity,36.1,30.3,41.9
2023,AL,Alabama,01090,County 090,65,164219,111977,LPA,physical_inactivity,Physical inactivity,32.7,29.5,36
2023,AL,Alabama,01105,County 105,7,80076,65920,CSMOKING,current_smoking,Current smoking,12.9,8.2,17.7
2023,AL,Alabama,01105,County 105,7,80076,65920,DIABETES,diabetes,Diabetes,8.8,5.8,11.8
2023,AL,Alabama,01105,County 105,7,80076,65920,MHLTH,frequent_mental_distress,Frequent mental distress,16.6,13.4,19.8
2023,AL,Alabama,01105,County 105,7,80076,65920,BPHIGH,high_blood_pressure,High blood pressure,26.9,21.9,31.9
2023,AL,Alabama,01105,County 105,7,80076,65920,ACCESS2,lack_health_insurance,Lack of health insurance,4.7,0.5,8.8
2023,AL,Alabama,01105,County 105,7,80076,65920,OBESITY,obesity,Obesity,32.9,29.2,36.6
2023,AL,Alabama,01105,County 105,7,80076,65920,LPA,physical_inactivity,Physical inactivity,31.4,27.8,35
2023,AL,Alabama,01235,County 235,74,21510,16569,CSMOKING,current_smoking,Current smoking,10.4,3.4,17.3
2023,AL,Alabama,01235,County 235,74,21510,16569,DIABETES,diabetes,Diabetes,5.9,0,12
2023,AL,Alabama,01235,County 235,74,21510,16569,MHLTH,frequent_mental_distress,Frequent mental distress,12.9,8.2,17.6
2023,AL,Alabama,01235,County 235,74,21510,16569,BPHIGH,high_blood_pressure,High blood pressure,26.8,19.8,33.8
2023,AL,Alabama,01235,County 235,74,21510,16569,ACCESS2,lack_health_insurance,Lack of health insurance,9.8,5.8,13.7
2023,AL,Alabama,01235,County 235,74,21510,16569,OBESITY,obesity,Obesity,33.2,29.3,37.2
2023,AL,Alabama,01235,County 235,74,21510,16569,LPA,physical_inactivity,Physical inactivity,23.4,18.6,28.3
2023,AL,Alabama,01400,County 400,55,47822,38916,CSMOKING,current_smoking,Current smoking,14.2,8.3,20
2023,AL,Alabama,01400,County 400,55,47822,38916,DIABETES,diabetes,Diabetes,18.8,14.6,22.9
2023,AL,Alabama,01400,County 400,55,47822,38916,MHLTH,frequent_mental_distress,Frequent mental distress,21.9,17,26.7
2023,AL,Alabama,01400,County 400,55,47822,38916,BPHIGH,high_blood_pressure,High blood pressure,29.8,25.9,33.6
2023,AL,Alabama,01400,County 400,55,47822,38916,ACCESS2,lack_health_insurance,Lack of health insurance,6.9,3.3,10.4
2023,AL,Alabama,01400,County 400,55,47822,38916,OBESITY,obesity,Obesity,34.9,29.5,40.3
2023,AL,Alabama,01400,County 400,55,47822,38916,LPA,physical_inactivity,Physical inactivity,20.8,17.4,24.2
2023,AL,Alabama,01481,County 481,71,32377,27061,CSMOKING,current_smoking,Current smoking,6.9,1,12.8
2023,AL,Alabama,01481,County 481,71,32377,27061,DIABETES,diabetes,Diabetes,8.3,4.2,12.4
2023,AL,Alabama,01481,County 481,71,32377,27061,MHLTH,frequent_mental_distress,Frequent mental distress,15.6,12.5,18.8
2023,AL,Alabama,01481,County 481,71,32377,27061,BPHIGH,high_blood_pressure,High blood pressure,28.7,25.8,31.5
2023,AL,Alabama,01481,County 481,71,32377,27061,ACCESS2,lack_health_insurance,Lack of health insurance,12.6,6.1,19.1
2023,AL,Alabama,01481,County 481,71,32377,27061,OBESITY,obesity,Obesity,33.1,26.6,39.6
2023,AL,Alabama,01481,County 481,71,32377,27061,LPA,physical_inactivity,Physical inactivity,23.5,16.8,30.2
2023,AR,Arkansas,04095,County 095,51,308006,258094,CSMOKING,current_smoking,Current smoking,8.2,4,12.3
2023,AR,Arkansas,04095,County 095,51,308006,258094,DIABETES,diabetes,Diabetes,7.7,4.6,10.9
2023,AR,Arkansas,04095,County 095,51,308006,258094,MHLTH,frequent_mental_distress,Frequent mental distress,10.8,7.3,14.4
2023,AR,Arkansas,04095,County 095,51,308006,258094,BPHIGH,high_blood_pressure,High blood pressure,34.4,31.3,37.5
2023,AR,Arkansas,04095,County 095,51,308006,258094,ACCESS2,lack_health_insurance,Lack of health insurance,8.3,5.1,11.4
2023,AR,Arkansas,04095,County 095,51,308006,258094,OBESITY,obesity,Obesity,35.1,30.7,39.5
2023,AR,Arkansas,04095,County 095,51,308006,258094,LPA,physical_inactivity,Physical inactivity,20.1,15.2,25
