year,state,state_name,county_name,county_fips,tract_fips,location_id,measure_id,measure_key,measure,estimate,ci_lower,ci_upper,total_population,total_adult_population,longitude,latitude
2023,DC,District of Columbia,Metro County 1,11009,11009000346,11009000346,CSMOKING,current_smoking,Current smoking,16.2,10.9,21.5,4056,3381,-78.2488068069797,39.20036273933947
2023,DC,District of Columbia,Metro County 1,11009,11009000346,11009000346,DIABETES,diabetes,Diabetes,6.6,1.8,11.3,4056,3381,-78.2488068069797,39.20036273933947
2023,DC,District of Columbia,Metro County 1,11009,11009000346,11009000346,MHLTH,frequent_mental_distress,Frequent mental distress,14.3,7.6,21.1,4056,3381,-78.2488068069797,39.20036273933947
2023,DC,District of Columbia,Metro County 1,11009,11009000346,11009000346,BPHIGH,high_blood_pressure,High blood pressure,34.3,29.8,38.8,4056,3381,-78.2488068069797,39.20036273933947
2023,DC,District of Columbia,Metro County 1,11009,11009000346,11009000346,ACCESS2,lack_health_insurance,Lack of health insurance,16.3,13.8,18.9,4056,3381,-78.2488068069797,39.20036273933947
2023,DC,District of Columbia,Metro County 1,11009,11009000346,11009000346,OBESITY,obesity,Obesity,31.4,28.1,34.8,4056,3381,-78.2488068069797,39.20036273933947
2023,DC,District of Columbia,Metro County 1,11009,11009000346,11009000346,LPA,physical_inactivity,Physical inactivity,18.2,14.3,22.1,4056,3381,-78.2488068069797,39.20036273933947
2023,DC,District of Columbia,Metro County 1,11131,11131000109,11131000109,CSMOKING,current_smoking,Current smoking,18.8,12.2,25.4,2548,1747,-77.85560677088797,37.3236078672111
2023,DC,District of Columbia,Metro County 1,11131,11131000109,11131000109,DIABETES,diabetes,Diabetes,11.3,9,13.7,2548,1747,-77.85560677088797,37.3236078672111
2023,DC,District of Columbia,Metro County 1,11131,11131000109,11131000109,MHLTH,frequent_mental_distress,Frequent mental distress,21.8,17.2,26.4,2548,1747,-77.85560677088797,37.3236078672111
2023,DC,District of Columbia,Metro County 1,11131,11131000109,11131000109,BPHIGH,high_blood_pressure,High blood pressure,30.8,27.8,33.8,2548,1747,-77.85560677088797,37.3236078672111
2023,DC,District of Columbia,Metro County 1,11131,11131000109,11131000109,ACCESS2,lack_health_insurance,Lack of health insurance,16,13.1,19,2548,1747,-77.85560677088797,37.3236078672111
2023,DC,District of Columbia,Metro County 1,11131,11131000109,11131000109,OBESITY,obesity,Obesity,25.9,21.7,30,2548,1747,-77.85560677088797,37.3236078672111
2023,DC,District of Columbia,Metro County 1,11131,11131000109,11131000109,LPA,physical_inactivity,Physical inactivity,22.9,18.8,27,2548,1747,-77.85560677088797,37.3236078672111
2023,DC,District of Columbia,Metro County 10,11054,11054000148,11054000148,CSMOKING,current_smoking,Current smoking,12.4,8.6,16.3,4585,3425,-76.72247806447558,37.85323239956051
2023,DC,District of Columbia,Metro County 10,11054,11054000148,11054000148,DIABETES,diabetes,Diabetes,12.2,6.7,17.7,4585,3425,-76.72247806447558,37.85323239956051
2023,DC,District of Columbia,Metro County 10,11054,11054000148,11054000148,MHLTH,frequent_mental_distress,Frequent mental distress,14.7,11.3,18.1,4585,3425,-76.72247806447558,37.85323239956051
2023,DC,District of Columbia,Metro County 10,11054,11054000148,11054000148,BPHIGH,high_blood_pressure,High blood pressure,35.1,31.2,39.1,4585,3425,-76.72247806447558,37.85323239956051
2023,DC,District of Columbia,Metro County 10,11054,11054000148,11054000148,ACCESS2,lack_health_insurance,Lack of health insurance,7.8,1.5,14.2,4585,3425,-76.72247806447558,37.85323239956051
2023,DC,District of Columbia,Metro County 10,11054,11054000148,11054000148,OBESITY,obesity,Obesity,35.1,32.1,38.1,4585,3425,-76.72247806447558,37.85323239956051
2023,DC,District of Columbia,Metro County 10,11054,11054000148,11054000148,LPA,physical_inactivity,Physical inactivity,36.1,31.9,40.3,4585,3425,-76.72247806447558,37.85323239956051
2023,DC,District of Columbia,Metro County 10,11057,11057000689,11057000689,CSMOKING,current_smoking,Current smoking,22.4,15.9,29,10085,8195,-77.44358279914596,37.1017156098038
2023,DC,District of Columbia,Metro County 10,11057,11057000689,11057000689,DIABETES,diabetes,Diabetes,9.4,5.6,13.1,10085,8195,-77.44358279914596,37.1017156098038
2023,DC,District of Columbia,Metro County 10,11057,11057000689,11057000689,MHLTH,frequent_mental_distress,Frequent mental distress,16.8,14.5,19.2,10085,8195,-77.44358279914596,37.1017156098038
2023,DC,District of Columbia,Metro County 10,11057,11057000689,11057000689,BPHIGH,high_blood_pressure,High blood pressure,32.9,28.7,37.1,10085,8195,-77.44358279914596,37.1017156098038
2023,DC,District of Columbia,Metro County 10,11057,11057000689,11057000689,ACCESS2,lack_health_insurance,Lack of health insurance,15.6,13.6,17.6,10085,8195,-77.44358279914596,37.1017156098038
2023,DC,District of Columbia,Metro County 10,11057,11057000689,11057000689,OBESITY,obesity,Obesity,32.5,26.9,38.1,10085,8195,-77.44358279914596,37.1017156098038
2023,DC,District of Columbia,Metro County 10,11057,11057000689,11057000689,LPA,physical_inactivity,Physical inactivity,21.5,15.6,27.4,10085,8195,-77.44358279914596,37.1017156098038
2023,DC,District of Columbia,Metro County 10,11127,11127000331,11127000331,CSMOKING,current_smoking,Current smoking,18.8,14.6,23.1,3384,2451,-76.82861050111242,38.954779953509565
2023,DC,District of Columbia,Metro County 10,11127,11127000331,11127000331,DIABETES,diabetes,Diabetes,6.7,4.7,8.7,3384,2451,-76.82861050111242,38.954779953509565
2023,DC,District of Columbia,Metro County 10,11127,11127000331,11127000331,MHLTH,frequent_mental_distress,Frequent mental distress,11.8,7.1,16.5,3384,2451,-76.82861050111242,38.954779953509565
2023,DC,District of Columbia,Metro County 10,11127,11127000331,11127000331,BPHIGH,high_blood_pressure,High blood pressure,34.1,31,37.3,3384,2451,-76.82861050111242,38.954779953509565
2023,DC,District of Columbia,Metro County 10,11127,11127000331,11127000331,ACCESS2,lack_health_insurance,Lack of health insurance,7.2,1.7,12.7,3384,2451,-76.82861050111242,38.954779953509565
2023,DC,District of Columbia,Metro County 10,11127,11127000331,11127000331,OBESITY,obesity,Obesity,32.1,28.9,35.4,3384,2451,-76.82861050111242,38.954779953509565
2023,DC,District of Columbia,Metro County 10,11127,11127000331,11127000331,LPA,physical_inactivity,Physical inactivity,21.6,15,28.2,3384,2451,-76.82861050111242,38.954779953509565
2023,DC,District of Columbia,Metro County 10,11127,11127000454,11127000454,CSMOKING,current_smoking,Current smoking,15.2,10,20.4,5761,3975,-77.62436017263681,38.43303908947855
2023,DC,District of Columbia,Metro County 10,11127,11127000454,11127000454,DIABETES,diabetes,Diabetes,7.8,4.3,11.3,5761,3975,-77.62436017263681,38.43303908947855
2023,DC,District of Columbia,Metro County 10,11127,11127000454,11127000454,MHLTH,frequent_mental_distress,Frequent mental distress,14.4,7.7,21.1,5761,3975,-77.62436017263681,38.43303908947855
2023,DC,District of Columbia,Metro County 10,11127,11127000454,11127000454,BPHIGH,high_blood_pressure,High blood pressure,27.2,22,32.5,5761,3975,-77.62436017263681,38.43303908947855
2023,DC,District of Columbia,Metro County 10,11127,11127000454,11127000454,ACCESS2,lack_health_insurance,Lack of health insurance,9.3,3.2,15.4,5761,3975,-77.62436017263681,38.43303908947855
2023,DC,District of Columbia,Metro County 10,11127,11127000454,11127000454,OBESITY,obesity,Obesity,28.7,22.8,34.6,5761,3975,-77.62436017263681,38.43303908947855
2023,DC,District of Columbia,Metro County 10,11127,11127000454,11127000454,LPA,physical_inactivity,Physical inactivity,25.1,22.6,27.5,5761,3975,-77.62436017263681,38.43303908947855
2023,DC,District of Columbia,Metro County 10,11145,11145000315,11145000315,CSMOKING,current_smoking,Current smoking,6.9,3.4,10.4,2920,2083,-77.52980700121262,38.341470868140455
2023,DC,District of Columbia,Metro County 10,11145,11145000315,11145000315,DIABETES,diabetes,Diabetes,7.5,4.7,10.3,2920,2083,-77.52980700121262,38.341470868140455
2023,DC,District of Columbia,Metro County 10,11145,11145000315,11145000315,MHLTH,frequent_mental_distress,Frequent mental distress,11.9,8.2,15.7,2920,2083,-77.52980700121262,38.341470868140455
2023,DC,District of Columbia,Metro County 10,11145,11145000315,11145000315,BPHIGH,high_blood_pressure,High blood pressure,34.4,31.3,37.5,2920,2083,-77.52980700121262,38.341470868140455
2023,DC,District of Columbia,Metro County 10,11145,11145000315,11145000315,ACCESS2,lack_health_insurance,Lack of health insurance,10.8,3.8,17.8,2920,2083,-77.52980700121262,38.341470868140455
2023,DC,District of Columbia,Metro County 10,11145,11145000315,11145000315,OBESITY,obesity,Obesity,38.2,34.1,42.4,2920,2083,-77.52980700121262,38.341470868140455
2023,DC,District of Columbia,Metro County 10,11145,11145000315,11145000315,LPA,physical_inactivity,Physical inactivity,28.5,23.8,33.2,2920,2083,-77.52980700121262,38.341470868140455
2023,DC,District of Columbia,Metro County 10,11181,11181000307,11181000307,CSMOKING,current_smoking,Current smoking,27.9,21.4,34.4,5277,3738,-77.72274584481492,37.565893995203076
2023,DC,District of Columbia,Metro County 10,11181,11181000307,11181000307,DIABETES,diabetes,Diabetes,23,19.2,26.8,5277,3738,-77.72274584481492,37.565893995203076
2023,DC,District of Columbia,Metro County 10,11181,11181000307,11181000307,MHLTH,frequent_mental_distress,Frequent mental distress,26.6,21.3,31.9,5277,3738,-77.72274584481492,37.565893995203076
2023,DC,District of Columbia,Metro County 10,11181,11181000307,11181000307,BPHIGH,high_blood_pressure,High blood pressure,27.4,24.9,29.9,5277,3738,-77.72274584481492,37.565893995203076
2023,DC,District of Columbia,Metro County 10,11181,11181000307,11181000307,ACCESS2,lack_health_insurance,Lack of health insurance,14.5,8.6,20.4,5277,3738,-77.72274584481492,37.565893995203076
2023,DC,District of Columbia,Metro County 10,11181,11181000307,11181000307,OBESITY,obesity,Obesity,37.2,31,43.3,5277,3738,-77.72274584481492,37.565893995203076
2023,DC,District of Columbia,Metro County 10,11181,11181000307,11181000307,LPA,physical_inactivity,Physical inactivity,28.2,22.5,33.8,5277,3738,-77.72274584481492,37.565893995203076
2023,DC,District of Columbia,Metro County 11,11013,11013000536,11013000536,CSMOKING,current_smoking,Current smoking,14.7,10.3,19.2,5220,4084,-77.49612714466639,37.520305291004476
2023,DC,District of Columbia,Metro County 11,11013,11013000536,11013000536,DIABETES,diabetes,Diabetes,10.3,6.3,14.2,5220,4084,-77.49612714466639,37.520305291004476
2023,DC,District of Columbia,Metro County 11,11013,11013000536,11013000536,MHLTH,frequent_mental_distress,Frequent mental distress,10.2,3.5,16.8,5220,4084,-77.49612714466639,37.520305291004476
2023,DC,District of Columbia,Metro County 11,11013,11013000536,11013000536,BPHIGH,high_blood_pressure,High blood pressure,26.3,21.3,31.3,5220,4084,-77.49612714466639,37.520305291004476
2023,DC,District of Columbia,Metro County 11,11013,11013000536,11013000536,ACCESS2,lack_health_insurance,Lack of health insurance,8.8,4.6,13,5220,4084,-77.49612714466639,37.520305291004476
2023,DC,District of Columbia,Metro County 11,11013,11013000536,11013000536,OBESITY,obesity,Obesity,38.5,33.8,43.2,5220,4084,-77.49612714466639,37.520305291004476
2023,DC,District of Columbia,Metro County 11,11013,11013000536,11013000536,LPA,physical_inactivity,Physical inactivity,23.8,17.1,30.5,5220,4084,-77.49612714466639,37.520305291004476
2023,DC,District of Columbia,Metro County 12,11089,11089000176,11089000176,CSMOKING,current_smoking,Current smoking,21.7,17.7,25.8,9025,7581,-77.57181823942811,38.23699230700731
2023,DC,District of Columbia,Metro County 12,11089,11089000176,11089000176,DIABETES,diabetes,Diabetes,18.6,13.5,23.7,9025,7581,-77.57181823942811,38.23699230700731
2023,DC,District of Columbia,Metro County 12,11089,11089000176,11089000176,MHLTH,frequent_mental_distress,Frequent mental distress,21,14.4,27.6,9025,7581,-77.57181823942811,38.23699230700731
2023,DC,District of Columbia,Metro County 12,11089,11089000176,11089000176,BPHIGH,high_blood_pressure,High blood pressure,34.5,31.2,37.9,9025,7581,-77.57181823942811,38.23699230700731
2023,DC,District of Columbia,Metro County 12,11089,11089000176,11089000176,ACCESS2,lack_health_insurance,Lack of health insurance,21.2,18.1,24.3,9025,7581,-77.57181823942811,38.23699230700731
2023,DC,District of Columbia,Metro County 12,11089,11089000176,11089000176,OBESITY,obesity,Obesity,43,38,48.1,9025,7581,-77.57181823942811,38.23699230700731
2023,DC,District of Columbia,Metro County 12,11089,11089000176,11089000176,LPA,physical_inactivity,Physical inactivity,30.2,23.4,37,9025,7581,-77.57181823942811,38.23699230700731
2023,DC,District of Columbia,Metro County 12,11119,11119000312,11119000312,CSMOKING,current_smoking,Current smoking,11.5,6.6,16.4,5958,4263,-77.20665205181577,39.17655405122787
2023,DC,District of Columbia,Metro County 12,11119,11119000312,11119000312,DIABETES,diabetes,Diabetes,2.7,0,9.3,5958,4263,-77.20665205181577,39.17655405122787
2023,DC,District of Columbia,Metro County 12,11119,11119000312,11119000312,MHLTH,frequent_mental_distress,Frequent mental distress,7.8,5.1,10.5,5958,4263,-77.20665205181577,39.17655405122787
