location_abbr,location,subgroup_cat,subgroup,depression_within_3_months_birth,anxiety_within_3_months_birth,binge_drinking_within_3_months_birth,alcohol_use_within_3_months_birth
AK,Alaska,Age group,25-34,20.4,27.1,5.2,11.6
AK,Alaska,Age group,35 or older,18.5,21,4.4,7.9
AK,Alaska,Age group,Under 25,22.4,25,4.5,15.6
AK,Alaska,Birth history,First birth,15,17,6,
AK,Alaska,Birth history,Previous birth,14.4,24.3,8.1,10.7
AK,Alaska,Insurance type,Private,14.8,13.1,6.8,17
AK,Alaska,Insurance type,Public,19.5,25.8,2.1,9.1
AK,Alaska,Insurance type,Uninsured,27,24.5,1.9,8.4
AK,Alaska,Prenatal care,Early care,,8.9,5.3,15.8
AK,Alaska,Prenatal care,Later or no care,24.5,21.4,8.4,12.3
AL,Alabama,Age group,25-34,17.2,23.2,4.5,10.9
AL,Alabama,Age group,35 or older,13.9,16.1,5.1,10.6
AL,Alabama,Age group,Under 25,23.3,27.9,7.9,11.6
AL,Alabama,Birth history,First birth,18,27.8,5.9,10.1
AL,Alabama,Birth history,Previous birth,12.7,17,4,13.3
AL,Alabama,Insurance type,Private,17.2,13.9,4.5,9.3
AL,Alabama,Insurance type,Public,19,27,0.6,16
AL,Alabama,Insurance type,Uninsured,,20.8,6,15.6
AL,Alabama,Prenatal care,Early care,19.5,16.9,1.8,15.1
AL,Alabama,Prenatal care,Later or no care,21.8,15.1,5.2,
AR,Arkansas,Age group,25-34,19.6,21,6.3,3.8
AR,Arkansas,Age group,35 or older,11,19.3,,17.2
AR,Arkansas,Age group,Under 25,16.1,28.3,3.3,6.2
AR,Arkansas,Birth history,First birth,11.7,18.3,4.2,8.8
AR,Arkansas,Birth history,Previous birth,11,19.2,3.1,
AR,Arkansas,Insurance type,Private,,20.9,,12
AR,Arkansas,Insurance type,Public,19.4,32.1,8.9,5.7
AR,Arkansas,Insurance type,Uninsured,21.1,21.3,4.9,11.8
AR,Arkansas,Prenatal care,Early care,9.5,14.2,3.7,14.4
