season,season_start_year,month,geography,estimate_50_64_years,estimate_ge_65_years,estimate_6_months_4_years,estimate_5_12_years,estimate_13_17_years,estimate_18_49_years,ci_lower_50_64_years,ci_lower_ge_65_years,ci_lower_6_months_4_years,ci_lower_5_12_years,ci_lower_13_17_years,ci_lower_18_49_years,ci_upper_50_64_years,ci_upper_ge_65_years,ci_upper_6_months_4_years,ci_upper_5_12_years,ci_upper_13_17_years,ci_upper_18_49_years,sample_size_50_64_years,sample_size_ge_65_years,sample_size_6_months_4_years,sample_size_5_12_years,sample_size_13_17_years,sample_size_18_49_years
2015-16,2015,1,National,13.2,32.2,6.8,25.5,13.8,3,7.3,29.3,3.8,18.5,7.2,0,19.1,35.1,9.7,32.5,20.5,8,5166,1836,4351,1492,1005,2629
2015-16,2015,1,Region 1,17.5,32.9,8.9,22.9,14.4,2.3,10.4,29.8,5.5,17.5,11.2,0,24.5,36,12.3,28.3,17.7,9.1,3350,3862,2069,3441,5475,4335
2015-16,2015,1,Region 10,17.6,28.3,1.5,14.1,15.7,4.6,15,24.6,0,10.7,11.1,0,20.2,31.9,7.9,17.6,20.3,9.5,2079,3984,3156,1261,4520,1700
2015-16,2015,1,Region 2,11.7,36.1,4.5,17.8,16.5,1,8.5,30.1,0.5,10.5,9.3,0,14.9,42.1,8.4,25.2,23.7,5.6,3593,3734,5429,4636,910,1725
2015-16,2015,1,Region 3,20.5,28,11.3,23.5,22.7,1.6,16.1,23.8,4.9,18.6,16.9,0,24.8,32.1,17.6,28.4,28.5,5.2,4106,952,1775,1546,3949,1373
2015-16,2015,1,Region 4,13.8,35.6,11,24.7,17.5,1.4,8.5,28.3,6.3,18.1,14.9,0,19,43,15.7,31.4,20,7.2,4985,278,1233,4317,3320,2896
2015-16,2015,1,Region 5,19.7,31.6,5.5,29.2,16.8,4.2,15.6,25.6,0,22.4,12.5,0,23.9,37.5,12.1,35.9,21,8.4,2512,2979,3338,1454,1299,853
2015-16,2015,1,Region 6,12.1,34.9,12.2,17.9,16,1.2,8.7,31.1,4.9,12.5,9,0,15.5,38.8,19.5,23.3,22.9,6.6,3200,2488,1977,5022,858,4815
2015-16,2015,1,Region 7,21.5,33.1,3.6,21.3,19.5,1,18.8,29.8,0.2,15.1,16.3,0,24.2,36.4,7,27.5,22.6,4.4,2783,1458,4918,2281,875,1619
2015-16,2015,1,Region 8,9.7,34.4,14.8,27.2,19.1,2.6,2.9,27.8,8,21.6,14.8,0,16.6,41,21.7,32.7,23.4,8.6,4091,312,3104,4717,1095,3608
2015-16,2015,1,Region 9,18,29.9,7.6,24.1,15.1,1,13.8,24.2,4.1,19.4,12.5,0,22.1,35.5,11,28.8,17.7,5.4,3028,2381,4897,722,1322,4326
2015-16,2015,2,National,17.7,35.8,13.9,18.9,23.4,1,12.3,29.6,10.8,11.5,20,0,23.1,42,16.9,26.2,26.7,4.3,535,2964,3799,952,5463,1405
2015-16,2015,2,Region 1,17.5,33.7,10.8,24,24.4,1,10.2,31.1,7.5,16.7,19.9,0,24.9,36.3,14,31.3,29,7.8,1439,2469,2923,5012,5173,1286
2015-16,2015,2,Region 10,18,36.8,1,26.1,23.9,8.6,13.8,30.3,0,22.1,17.6,2,22.2,43.3,6.6,30.1,30.3,15.2,1268,4854,4486,4456,2640,1625
2015-16,2015,2,Region 2,16.8,40.9,13.1,24.8,24.1,1,13.2,38.1,6.1,18.3,20,0,20.4,43.6,20,31.3,28.1,8.2,2084,3036,1018,2602,3347,4463
2015-16,2015,2,Region 3,18.8,40.6,23.5,22.3,19.9,6,15.5,34.3,19.4,19.4,14.6,0,22,46.8,27.5,25.2,25.2,12.5,2528,3515,3500,2578,3973,4546
2015-16,2015,2,Region 4,18.8,28.6,10.5,23.1,18.9,11.5,11.4,24.3,7.7,15.7,13.3,7.3,26.2,33,13.3,30.6,24.6,15.7,3146,2339,3447,5480,5246,2719
2015-16,2015,2,Region 5,17.4,34.1,7.8,27.7,25.6,1,11.2,30,4,20.4,18.6,0,23.5,38.3,11.6,35,32.7,7.1,854,4911,5448,431,3293,3146
2015-16,2015,2,Region 6,23.1,29.3,9.1,22.7,19.7,11.2,20.2,26.1,2.8,19.1,14.4,8.5,26.1,32.5,15.5,26.2,25.1,14,291,595,3918,2604,3431,3854
2015-16,2015,2,Region 7,23.9,39.5,20.1,28.8,20.5,8.2,16.9,33.4,13.3,22.4,16,2.6,30.9,45.5,26.9,35.2,25.1,13.8,4463,2460,3784,1166,3423,3793
2015-16,2015,2,Region 8,25,40.2,10.3,20.3,23.5,9.1,18.7,33.6,5.2,15.1,20.9,4.9,31.3,46.9,15.4,25.4,26,13.3,4695,860,385,1589,1838,4318
2015-16,2015,2,Region 9,18,39.7,7.1,31.7,25.9,7.8,13.7,37.2,1.5,27.9,19.7,2.7,22.2,42.2,12.6,35.5,32.2,13,987,4837,3189,3355,2007,293
2015-16,2015,3,National,19.9,37.8,14.7,34.6,24.8,7.2,16.1,32,11.3,27.8,18.7,3.1,23.7,43.6,18.1,41.3,30.9,11.3,5009,1560,285,1934,566,3111
2015-16,2015,3,Region 1,21.7,34.9,12.2,33.3,15.6,8.8,14.2,32.2,8,29.9,10.5,3.8,29.2,37.5,16.5,36.6,20.8,13.7,633,1959,831,5224,1294,3081
2015-16,2015,3,Region 10,14.8,39.3,21.1,29.5,22.4,8.7,8.2,32.1,14.5,26,18.8,5.8,21.3,46.6,27.8,32.9,25.9,11.6,5399,5220,990,2469,4557,2715
2015-16,2015,3,Region 2,19.2,33.2,22.8,27.4,24.2,12.1,12.3,30,19.5,23.6,21,9,26,36.3,26.1,31.3,27.5,15.1,372,2565,1070,4439,2993,3394
2015-16,2015,3,Region 3,27.2,42.1,18,38.3,29.7,8.5,24.5,35.9,12.9,35.6,26.8,4,29.8,48.3,23.2,41.1,32.6,13.1,3200,3759,1831,648,1552,3564
2015-16,2015,3,Region 4,24.2,43.2,22.8,33.2,31.3,8.3,18.9,39.1,18.9,29.1,25.8,2.4,29.4,47.3,26.6,37.2,36.9,14.2,2283,3621,3372,1827,3758,1064
2015-16,2015,3,Region 5,22.2,41.9,24.4,29.9,24.3,10.2,17.6,34.8,20.9,25.4,19.6,5.6,26.8,49,27.8,34.4,29.1,14.8,5106,2088,4135,2442,2880,2431
2015-16,2015,3,Region 6,26.8,35.9,14.9,26.3,28.3,6.2,20,29.1,9.8,22.1,20.9,2.6,33.6,42.8,20,30.5,35.7,9.7,5225,3875,4944,2236,5292,4591
2015-16,2015,3,Region 7,19.8,39.3,29.1,30.7,26.3,15.2,16.9,36.6,26,24.1,22.8,12.1,22.6,41.9,32.3,37.2,29.9,18.2,1441,2790,1749,2545,4227,1605
2015-16,2015,3,Region 8,22.1,35.8,19.8,33.3,25,5.4,16.7,31.2,14.6,30.6,19.3,2.2,27.5,40.4,25,35.9,30.8,8.7,2657,5227,637,4476,977,5412
2015-16,2015,3,Region 9,20.2,37.4,21,35.8,30.4,12.9,13.2,30.8,16,30.8,26.6,5.5,27.2,44.1,25.9,40.7,34.1,20.3,434,3801,3356,632,4847,981
2015-16,2015,4,National,27.5,38.9,21.8,40.4,31.7,6.3,24.7,36,14.4,33.9,27.4,1.4,30.4,41.8,29.1,47,36.1,11.2,1952,3025,2415,1002,310,3839
2015-16,2015,4,Region 1,32.4,39,26.1,28.9,30.5,14.4,26.7,31.6,21.3,24.7,24.5,7.4,38.2,46.4,30.9,33.1,36.5,21.3,1561,3382,2672,2807,2938,5259
2015-16,2015,4,Region 10,24.7,45.1,27.7,31.3,23.7,10.1,17.9,42,24.4,27.1,16.6,2.7,31.5,48.1,31.1,35.6,30.8,17.5,911,508,2649,2059,1506,720
2015-16,2015,4,Region 2,26.5,39.1,30.9,33.6,25.9,16.6,20.8,35,27.9,29.9,22,11.3,32.2,43.2,34,37.3,29.7,21.9,4654,3761,2493,3461,2346,1011
2015-16,2015,4,Region 3,26.3,45.8,24.9,33.8,30.9,21.3,23.7,41.9,19.5,28.6,25.5,16.6,28.9,49.6,30.4,39,36.3,25.9,3741,1296,5387,4505,3618,2885
2015-16,2015,4,Region 4,30.9,36.9,22.7,37.2,29.7,11.8,28.3,34.3,19.9,31.4,26.4,7.2,33.6,39.5,25.4,43,33,16.5,4757,2683,2558,1904,1902,5447
2015-16,2015,4,Region 5,28.2,42.2,22.1,28.5,30.7,14.8,22.8,38,15.6,23.5,24.4,10.6,33.5,46.4,28.6,33.5,36.9,19,1617,796,2891,3608,2231,496
2015-16,2015,4,Region 6,24.4,38.6,15.1,36.4,29,12.5,17.9,34.7,12.5,33.4,24.2,5.3,31,42.5,17.7,39.4,33.8,19.8,5125,5281,4243,2932,4636,3354
2015-16,2015,4,Region 7,25.7,44.4,18.8,27.1,40,9.8,18.4,37.9,12.5,21.4,37,3.2,33.1,50.8,25,32.7,43,16.4,1980,502,3260,4368,4398,1032
2015-16,2015,4,Region 8,27.2,44.7,23.4,26.6,30.2,10.1,21.3,38.9,16.5,23.4,25.4,2.7,33.1,50.4,30.2,29.8,34.9,17.4,1144,5391,4595,1767,3563,2019
2015-16,2015,4,Region 9,25.4,47.7,21.2,33.3,25.4,20,20.3,41.5,18.5,30.1,20.7,15,30.5,54,23.9,36.5,30,24.9,1489,4487,2921,4710,691,1395
2015-16,2015,5,National,30.7,55.4,27,36,39.1,13.8,23.4,49.3,23.3,31.4,35.3,9.7,38.1,61.4,30.7,40.7,42.8,17.8,4229,4714,403,3021,1753,3044
2015-16,2015,5,Region 1,25.6,49.6,30.6,39.8,32.4,16.5,20.9,43,24,35.3,27.8,13.6,30.3,56.2,37.2,44.3,36.9,19.4,3986,3828,447,3408,3379,5168
2015-16,2015,5,Region 10,29.4,45.1,25,36.5,33.4,15.5,23.9,42.4,20.2,33.8,27.4,9.1,34.9,47.7,29.7,39.3,39.3,21.8,2496,3611,1708,1641,4958,4236
2015-16,2015,5,Region 2,33.5,51.4,30.9,35.4,36.8,15.2,30.7,47.4,25.1,32.2,32.6,12.3,36.4,55.4,36.8,38.6,41,18.1,4389,3717,5227,961,5369,5254
2015-16,2015,5,Region 3,27.8,58,27.2,36.4,32.6,22.2,21.4,53.4,24.4,33.6,26.7,19.3,34.2,62.7,29.9,39.1,38.5,25.2,2151,3661,2087,1730,329,4229
2015-16,2015,5,Region 4,25,45.7,23,37,38.5,18,18.2,38.8,17.8,31.4,35.8,13.7,31.7,52.7,28.1,42.6,41.1,22.4,346,879,3197,3879,3385,2805
2015-16,2015,5,Region 5,38.7,50.3,24.7,33.6,36.9,21.5,34.5,45,20.9,30.9,33.7,14.6,42.9,55.6,28.5,36.3,40.2,28.4,1260,1187,2873,3447,2146,4054
2015-16,2015,5,Region 6,33.7,49.7,24.9,39.4,25,18.4,29,47,22.3,33.9,20.5,14.6,38.3,52.5,27.6,44.9,29.5,22.1,1479,2081,1306,833,2102,2521
2015-16,2015,5,Region 7,29.1,54.8,24.5,42.7,27.2,21.6,24.7,50.3,17.2,36.5,23.6,16.4,33.5,59.3,31.7,48.8,30.7,26.7,4128,2598,2984,2580,856,4635
2015-16,2015,5,Region 8,28.7,53.4,10.1,40.4,36.1,20.1,21.9,46.9,3.8,34,30.5,16.9,35.5,59.9,16.4,46.7,41.7,23.3,4661,3600,3258,991,3625,5431
2015-16,2015,5,Region 9,31.2,51.5,24.4,39.4,32.1,17.9,24.8,46.4,19.5,34.7,28.4,10.5,37.6,56.6,29.3,44.1,35.8,25.4,534,1023,3513,4224,604,1356
