season,season_start_year,month,geography_type,geography,fips,age_group,estimate,ci_lower,ci_upper,sample_size
2015-16,2015,1,HHS Regions/National,National,0,13-17 Years,13.8,7.2,20.5,1005
2015-16,2015,1,HHS Regions/National,National,0,18-49 Years,3,0,8,2629
2015-16,2015,1,HHS Regions/National,National,0,5-12 Years,25.5,18.5,32.5,1492
2015-16,2015,1,HHS Regions/National,National,0,50-64 Years,13.2,7.3,19.1,5166
2015-16,2015,1,HHS Regions/National,National,0,6 Months - 4 Years,6.8,3.8,9.7,4351
2015-16,2015,1,HHS Regions/National,National,0,>=65 Years,32.2,29.3,35.1,1836
2015-16,2015,1,HHS Regions/National,Region 1,101,13-17 Years,14.4,11.2,17.7,5475
2015-16,2015,1,HHS Regions/National,Region 1,101,18-49 Years,2.3,0,9.1,4335
2015-16,2015,1,HHS Regions/National,Region 1,101,5-12 Years,22.9,17.5,28.3,3441
2015-16,2015,1,HHS Regions/National,Region 1,101,50-64 Years,17.5,10.4,24.5,3350
2015-16,2015,1,HHS Regions/National,Region 1,101,6 Months - 4 Years,8.9,5.5,12.3,2069
2015-16,2015,1,HHS Regions/National,Region 1,101,>=65 Years,32.9,29.8,36,3862
2015-16,2015,1,HHS Regions/National,Region 10,110,13-17 Years,15.7,11.1,20.3,4520
2015-16,2015,1,HHS Regions/National,Region 10,110,18-49 Years,4.6,0,9.5,1700
2015-16,2015,1,HHS Regions/National,Region 10,110,5-12 Years,14.1,10.7,17.6,1261
2015-16,2015,1,HHS Regions/National,Region 10,110,50-64 Years,17.6,15,20.2,2079
2015-16,2015,1,HHS Regions/National,Region 10,110,6 Months - 4 Years,1.5,0,7.9,3156
2015-16,2015,1,HHS Regions/National,Region 10,110,>=65 Years,28.3,24.6,31.9,3984
2015-16,2015,1,HHS Regions/National,Region 2,102,13-17 Years,16.5,9.3,23.7,910
2015-16,2015,1,HHS Regions/National,Region 2,102,18-49 Years,1,0,5.6,1725
2015-16,2015,1,HHS Regions/National,Region 2,102,5-12 Years,17.8,10.5,25.2,4636
2015-16,2015,1,HHS Regions/National,Region 2,102,50-64 Years,11.7,8.5,14.9,3593
2015-16,2015,1,HHS Regions/National,Region 2,102,6 Months - 4 Years,4.5,0.5,8.4,5429
2015-16,2015,1,HHS Regions/National,Region 2,102,>=65 Years,36.1,30.1,42.1,3734
2015-16,2015,1,HHS Regions/National,Region 3,103,13-17 Years,22.7,16.9,28.5,3949
2015-16,2015,1,HHS Regions/National,Region 3,103,18-49 Years,1.6,0,5.2,1373
2015-16,2015,1,HHS Regions/National,Region 3,103,5-12 Years,23.5,18.6,28.4,1546
2015-16,2015,1,HHS Regions/National,Region 3,103,50-64 Years,20.5,16.1,24.8,4106
