country_name,income_usd_per_capita,infant_mortality_per_1000,region,oil_exporting_country,oil_exporter
Country 018,2006,38.1,Africa,no,FALSE
Country 020,497,58.3,Africa,no,FALSE
Country 022,345,57.9,Africa,no,FALSE
Country 025,740,39.5,Africa,no,FALSE
Country 026,460,56.2,Africa,no,FALSE
Country 028,1258,39.5,Africa,yes,TRUE
Country 030,1284,12.6,Africa,no,FALSE
Country 035,1447,29.7,Africa,no,FALSE
Country 037,1556,45.5,Africa,no,FALSE
Country 039,232,53.1,Africa,no,FALSE
Country 044,357,49.3,Africa,no,FALSE
Country 052,2016,28.5,Africa,no,FALSE
Country 054,625,62.4,Africa,yes,TRUE
Country 060,820,55.4,Africa,yes,TRUE
Country 069,1466,5.4,Africa,no,FALSE
Country 071,3261,34.1,Africa,yes,TRUE
Country 076,737,68,Africa,no,FALSE
Country 085,1212,44,Africa,no,FALSE
Country 086,4180,25.8,Africa,no,FALSE
Country 087,1495,26.9,Africa,no,FALSE
Country 090,323,75.3,Africa,no,FALSE
Country 094,601,43.8,Africa,no,FALSE
Country 097,525,48.1,Africa,no,FALSE
Country 098,1550,27.3,Africa,no,FALSE
Country 002,7084,3,Americas,no,FALSE
Country 003,2477,9.5,Americas,no,FALSE
Country 005,12249,3,Americas,no,FALSE
Country 007,2782,11.7,Americas,no,FALSE
Country 010,11378,3,Americas,no,FALSE
Country 014,9317,3,Americas,no,FALSE
Country 016,11385,3,Americas,no,FALSE
Country 017,2945,18.3,Americas,no,FALSE
Country 019,10043,3,Americas,no,FALSE
Country 021,11043,3,Americas,no,FALSE
Country 027,4779,3,Americas,no,FALSE
Country 029,8472,3,Americas,no,FALSE
Country 031,861,58.7,Americas,no,FALSE
Country 032,6373,3,Americas,no,FALSE
Country 036,1596,12,Americas,no,FALSE
Country 038,4802,12.9,Americas,yes,TRUE
Country 043,4958,17.6,Americas,yes,TRUE
Country 048,8883,3,Americas,no,FALSE
Country 050,2258,28.2,Americas,no,FALSE
Country 051,2671,10.1,Americas,no,FALSE
Country 053,8773,3,Americas,no,FALSE
Country 055,2968,16.3,Americas,no,FALSE
Country 057,1077,26.9,Americas,no,FALSE
Country 058,3117,12.5,Americas,no,FALSE
Country 061,919,34.5,Americas,no,FALSE
Country 064,6158,13.7,Americas,no,FALSE
Country 067,16668,3,Americas,no,FALSE
Country 079,4212,8.2,Americas,no,FALSE
Country 080,2960,29.7,Americas,no,FALSE
Country 083,6952,8.5,Americas,no,FALSE
Country 088,1370,40,Americas,no,FALSE
Country 100,1092,24.2,Americas,no,FALSE
Country 102,10710,3,Americas,no,FALSE
Country 104,6964,24.3,Americas,no,FALSE
Country 106,2195,29.4,Americas,no,FALSE
Country 110,8733,3,Americas,no,FALSE
Country 006,3419,8.2,Asia,no,FALSE
Country 009,5354,10,Asia,yes,TRUE
Country 011,507,34.7,Asia,no,FALSE
Country 023,1443,33.1,Asia,no,FALSE
Country 040,1460,12.8,Asia,no,FALSE
Country 041,6487,11.9,Asia,no,FALSE
Country 045,666,60.7,Asia,no,FALSE
Country 046,7018,23.1,Asia,no,FALSE
Country 047,1305,35.7,Asia,no,FALSE
Country 059,1163,25.8,Asia,no,FALSE
Country 062,1746,39.2,Asia,no,FALSE
Country 065,434,54.6,Asia,no,FALSE
Country 066,3098,20.1,Asia,yes,TRUE
Country 068,1640,44.7,Asia,yes,TRUE
Country 070,1395,42,Asia,no,FALSE
Country 072,6531,8.5,Asia,no,FALSE
Country 073,1574,29.2,Asia,no,FALSE
Country 074,5516,9,Asia,no,FALSE
Country 077,840,51.6,Asia,no,FALSE
Country 078,3553,9.5,Asia,no,FALSE
Country 081,4127,9.3,Asia,no,FALSE
Country 084,6852,16.6,Asia,no,FALSE
Country 091,6586,17.4,Asia,no,FALSE
Country 096,3886,4.5,Asia,no,FALSE
Country 107,1417,39.7,Asia,no,FALSE
Country 001,5392,15.3,Europe,no,FALSE
Country 004,7533,3,Europe,no,FALSE
Country 008,22957,3,Europe,no,FALSE
Country 012,8017,27.6,Europe,no,FALSE
Country 013,13341,3,Europe,no,FALSE
Country 015,11413,3,Europe,no,FALSE
Country 024,7312,20,Europe,no,FALSE
Country 033,12261,3,Europe,no,FALSE
Country 034,8096,8.1,Europe,no,FALSE
Country 042,3961,26.9,Europe,no,FALSE
Country 049,11038,3,Europe,no,FALSE
Country 056,8358,6.7,Europe,no,FALSE
Country 063,9153,3,Europe,no,FALSE
Country 075,13823,3,Europe,no,FALSE
Country 082,4356,11.4,Europe,no,FALSE
Country 089,6786,9.5,Europe,no,FALSE
Country 092,3037,11.1,Europe,no,FALSE
Country 093,5193,18.1,Europe,no,FALSE
Country 095,4184,29.1,Europe,no,FALSE
Country 099,6734,5.9,Europe,no,FALSE
Country 101,12673,3.9,Europe,no,FALSE
Country 103,14173,3,Europe,no,FALSE
Country 105,10793,3,Europe,no,FALSE
Country 108,11348,3,Europe,no,FALSE
Country 109,8504,3,Europe,no,FALSE
