state,state_name,rank,total_population,share_american_indian_and_alaska_native,share_asian,share_black,share_hispanic_or_latino,share_native_hawaiian_and_other_pacific_islander,share_other,share_white
TX,Texas,1,32058625,0.032138870584749034,0.2600031348817986,0.1850773075888314,0.060717950317582245,0.0192920937813147,0.0051811641952828605,0.4375894474575875
MN,Minnesota,2,24912946,0.12285672677972329,0.035556413119508225,0.16589467179032139,0.22750797918479815,0.0015485121671278861,0.014744904115314183,0.4318907928432069
MT,Montana,3,20972023,0.0636860831213088,0.2729059089816943,0.038492614660969995,0.14308395522930717,0.008808401554776094,0.07667534028548414,0.3963476961664595
WV,West Virginia,4,18507780,0.013985145706292165,0.20572208011981988,0.03370550114600455,0.4513924954802791,8.996216726155163e-4,0.13283862246039232,0.16145653341459645
ND,North Dakota,5,13355412,0.0029212876397972597,0.3660454653139866,0.22647215975066887,0.1493465720114063,0.007354920986338722,0.07086932248889065,0.1769901969328988
OK,Oklahoma,6,10934458,0.024414287383974588,0.053359663551682215,0.09015316534207732,0.05858626005971215,0.01768473572261195,0.04280440786365451,0.7129973886222801
MO,Missouri,7,10466059,0.06522407335941828,0.23127215315717214,0.015456247666862951,0.30007273989187333,0.012366450447107168,0.0027694283015220916,0.372838907176044
VT,Vermont,8,10251077,0.017181609307978078,0.1001927894990936,0.1586109440012986,0.39840379698640443,0.029067482372827753,0.021517446410752743,0.2750258338709191
IN,Indiana,9,9785631,0.03002320443106837,0.20142870705016366,0.05416973110880637,0.47152196930376794,0.022121210170299697,0.10231787812150285,0.11841719762374035
NJ,New Jersey,10,9359827,0.1136551989689553,0.16408839607826084,0.1672939040433119,0.21978269470151532,0.02437513001041579,0.028299454680091842,0.282505221517449
ME,Maine,11,8972999,0.056664555518171796,0.004895687606785646,0.3600587718777189,0.24622470146268824,0.005852335434340291,0.04645670862105301,0.2798472394792421
ID,Idaho,12,8909229,1.4737526670377426e-4,0.20074217421058546,0.1902105109207542,0.006747946427238541,0.036726522575634774,0.048217415895359744,0.5172080547037236
DE,Delaware,13,8863258,0.030101910606686617,0.21179604610403985,0.10325243832459802,0.2835589351003886,0.01766212830541546,0.11624867514857404,0.23737997923562645
WA,Washington,14,8795960,0.03331540843750995,0.07055932496282384,0.03794321483953997,0.3904309478442376,0.06143604563913433,0.034329851431793686,0.3719853205335177
OR,Oregon,15,8622440,0.18065512778285497,0.10204930390933425,0.07704396899253575,0.03644826754375791,0.03037945175611544,0.08100850803252907,0.49241525600642044
WY,Wyoming,16,8512535,0.05509533881505333,0.4382744975497898,0.030405631225011116,0.08071708368893638,0.1175527618976016,0.10414923404132846,0.17380533530845982
FL,Florida,17,8317811,0.11861245705150068,0.03745288273561397,0.11045886952709072,0.2737133604021539,0.033634450217731565,0.19519690937916237,0.2309310706867468
CO,Colorado,18,8205124,0.06218077874264911,0.010762177390615912,0.09312302897555234,0.2966630364148062,0.07580214509859937,0.0899231992106396,0.3715456341671375
CT,Connecticut,19,8013908,0.016767724311284832,0.14776174121290137,0.06985006566084861,0.5554955210366778,0.06330631696795122,0.06991308110849288,0.0769054249187787
MD,Maryland,20,7872509,0.019818332376628594,0.025623343206085888,0.27133636811339307,0.12367734352542499,0.0747846715703977,0.03405699504440071,0.450702946163669
AZ,Arizona,21,6978705,0.07496061231990749,0.04082104057987836,0.1420538624286311,0.4444602544454881,0.003036523251806746,0.050301022897514654,0.24436668407677356
TN,Tennessee,22,6521537,6.466267077837632e-4,0.028910976047517634,4.955886932789004e-4,0.018619383743433488,0.01887775841799257,0.030324753198517466,0.9021249131914761
SC,South Carolina,23,5528406,0.06712115571830289,0.016335269153531777,0.02052870212498865,0.44702704540874894,0.23176246462361846,0.04548182604533748,0.17174371780943729
IL,Illinois,24,5410053,0.06528420331556825,0.3300355837549096,0.06210530654690444,0.15255469770813707,0.008420989591044672,0.09814598858828186,0.28345323049515414
NY,New York,25,4876580,0.0023461114141467994,0.38079453223365556,0.04251381090846454,0.270779316652244,0.07039892711695492,0.10888224944530799,0.12428505222922621
PA,Pennsylvania,26,4699544,0.19614583883032055,0.2895363890624282,0.12336494774812194,0.20631001646117156,0.09297540357106987,0.06773763582168824,0.023929768505199654
MA,Massachusetts,27,3960551,0.0013844033317586366,0.13279465407717259,0.02373659624633037,0.7026486971131037,7.976162912685634e-4,0.107767833314102,0.030870199626264125
NE,Nebraska,28,3939868,0.024329749118498386,0.184546284291758,0.3195650209600931,0.32422862897944804,0.030282486621379192,0.01820289410711222,0.09884493592171108
OH,Ohio,29,3931230,0.028856108647929528,0.05096064081725058,0.4872515726630088,0.21364356702609616,0.028571210537160125,0.008068212747664217,0.18264868756089062
MI,Michigan,30,3884106,0.10967002445350359,0.09260560860079514,0.17313095986566793,0.10983582837337601,0.02587081814965915,0.007139866934630517,0.48174689362236767
HI,Hawaii,31,3802907,0.00474452833056396,0.1377906427898447,0.010319999936890385,0.7203344704458984,0.010752037848940297,0.07294025333777555,0.04311806731008673
NM,New Mexico,32,3734374,0.13130393474247626,0.0026242684851597617,0.17689470845716043,0.02944536353348647,0.008403014802480952,0.04335291537483926,0.6079760623868954
VA,Virginia,33,3548227,0.09149245524595805,0.12141951459137197,0.20267558980865655,0.020973291731335116,0.11956196714584495,0.3301206489889176,0.1137568143188133
