state,state_name,rank,total_population,race_ethnicity_population_american_indian_and_alaska_native,race_ethnicity_population_asian,race_ethnicity_population_black,race_ethnicity_population_hispanic_or_latino,race_ethnicity_population_native_hawaiian_and_other_pacific_islander,race_ethnicity_population_other,race_ethnicity_population_white,share_american_indian_and_alaska_native,share_asian,share_black,share_hispanic_or_latino,share_native_hawaiian_and_other_pacific_islander,share_other,share_white,state_population_weight
TX,Texas,1,32058625,1030328,8335343,5933324,1946534,618478,166101,14028516,0.032138870584749034,0.2600031348817986,0.1850773075888314,0.060717950317582245,0.0192920937813147,0.0051811641952828605,0.4375894474575875,0.09286866211511331
MN,Minnesota,2,24912946,3060723,885815,4132925,5667894,38578,367339,10759672,0.12285672677972329,0.035556413119508225,0.16589467179032139,0.22750797918479815,0.0015485121671278861,0.014744904115314183,0.4318907928432069,0.07216878341993968
MT,Montana,3,20972023,1335626,5723389,807268,3000760,184730,1608037,8312213,0.0636860831213088,0.2729059089816943,0.038492614660969995,0.14308395522930717,0.008808401554776094,0.07667534028548414,0.3963476961664595,0.060752565584375036
WV,West Virginia,4,18507780,258834,3807459,623814,8354273,16650,2458548,2988202,0.013985145706292165,0.20572208011981988,0.03370550114600455,0.4513924954802791,8.996216726155163e-4,0.13283862246039232,0.16145653341459645,0.05361405136124372
ND,North Dakota,5,13355412,39015,4888688,3024629,1994585,98228,946489,2363777,0.0029212876397972597,0.3660454653139866,0.22647215975066887,0.1493465720114063,0.007354920986338722,0.07086932248889065,0.1769901969328988,0.038688472897266485
OK,Oklahoma,6,10934458,266957,583459,985776,640609,193373,468043,7796240,0.024414287383974588,0.053359663551682215,0.09015316534207732,0.05858626005971215,0.01768473572261195,0.04280440786365451,0.7129973886222801,0.031675359919955945
MO,Missouri,7,10466059,682639,2420508,161766,3140579,129428,28985,3902154,0.06522407335941828,0.23127215315717214,0.015456247666862951,0.30007273989187333,0.012366450447107168,0.0027694283015220916,0.372838907176044,0.030318483620175248
VT,Vermont,8,10251077,176130,1027084,1625933,4084068,297973,220577,2819311,0.017181609307978078,0.1001927894990936,0.1586109440012986,0.39840379698640443,0.029067482372827753,0.021517446410752743,0.2750258338709191,0.02969571546593185
IN,Indiana,9,9785631,293796,1971107,530085,4614140,216470,1001245,1158787,0.03002320443106837,0.20142870705016366,0.05416973110880637,0.47152196930376794,0.022121210170299697,0.10231787812150285,0.11841719762374035,0.028347393530514128
NJ,New Jersey,10,9359827,1063793,1535839,1565842,2057128,228147,264878,2644200,0.1136551989689553,0.16408839607826084,0.1672939040433119,0.21978269470151532,0.02437513001041579,0.028299454680091842,0.282505221517449,0.02711390807057117
ME,Maine,11,8972999,508451,43929,3230807,2209374,52513,416856,2511069,0.056664555518171796,0.004895687606785646,0.3600587718777189,0.24622470146268824,0.005852335434340291,0.04645670862105301,0.2798472394792421,0.025993329791600534
ID,Idaho,12,8909229,1313,1788458,1694629,60119,327205,429580,4607925,1.4737526670377426e-4,0.20074217421058546,0.1902105109207542,0.006747946427238541,0.036726522575634774,0.048217415895359744,0.5172080547037236,0.02580859839457147
DE,Delaware,13,8863258,266801,1877203,915153,2513256,156544,1030342,2103960,0.030101910606686617,0.21179604610403985,0.10325243832459802,0.2835589351003886,0.01766212830541546,0.11624867514857404,0.23737997923562645,0.025675427827646227
WA,Washington,14,8795960,293041,620637,333747,3434215,540389,301964,3271968,0.03331540843750995,0.07055932496282384,0.03794321483953997,0.3904309478442376,0.06143604563913433,0.034329851431793686,0.3719853205335177,0.025480476384063637
OR,Oregon,15,8622440,1557688,879914,664307,314273,261945,698491,4245821,0.18065512778285497,0.10204930390933425,0.07704396899253575,0.03644826754375791,0.03037945175611544,0.08100850803252907,0.49241525600642044,0.02497781695153294
WY,Wyoming,16,8512535,469001,3730827,258829,687107,1000672,886574,1479524,0.05509533881505333,0.4382744975497898,0.030405631225011116,0.08071708368893638,0.1175527618976016,0.10414923404132846,0.17380533530845982,0.024659439906049498
FL,Florida,17,8317811,986596,311526,918776,2276696,279765,1623611,1920841,0.11861245705150068,0.03745288273561397,0.11045886952709072,0.2737133604021539,0.033634450217731565,0.19519690937916237,0.2309310706867468,0.024095355908008306
CO,Colorado,18,8205124,510201,88305,764086,2434157,621966,737831,3048578,0.06218077874264911,0.010762177390615912,0.09312302897555234,0.2966630364148062,0.07580214509859937,0.0899231992106396,0.3715456341671375,0.02376891985756117
CT,Connecticut,19,8013908,134375,1184149,559772,4451690,507331,560277,616313,0.016767724311284832,0.14776174121290137,0.06985006566084861,0.5554955210366778,0.06330631696795122,0.06991308110849288,0.0769054249187787,0.023214997969301664
MD,Maryland,20,7872509,156020,201720,2136098,973651,588743,268114,3548163,0.019818332376628594,0.025623343206085888,0.27133636811339307,0.12367734352542499,0.0747846715703977,0.03405699504440071,0.450702946163669,0.02280538788919327
AZ,Arizona,21,6978705,523128,284878,991352,3101757,21191,351036,1705363,0.07496061231990749,0.04082104057987836,0.1420538624286311,0.4444602544454881,0.003036523251806746,0.050301022897514654,0.24436668407677356,0.020216181968067935
TN,Tennessee,22,6521537,4217,188544,3232,121427,123112,197764,5883241,6.466267077837632e-4,0.028910976047517634,4.955886932789004e-4,0.018619383743433488,0.01887775841799257,0.030324753198517466,0.9021249131914761,0.018891840062517023
SC,South Carolina,23,5528406,371073,90308,113491,2471347,1281277,251442,949469,0.06712115571830289,0.016335269153531777,0.02052870212498865,0.44702704540874894,0.23176246462361846,0.04548182604533748,0.17174371780943729,0.016014899854537277
IL,Illinois,24,5410053,353191,1785510,335993,825329,45558,530975,1533497,0.06528420331556825,0.3300355837549096,0.06210530654690444,0.15255469770813707,0.008420989591044672,0.09814598858828186,0.28345323049515414,0.01567205031662634
NY,New York,25,4876580,11441,1856975,207322,1320477,343306,530973,606086,0.0023461114141467994,0.38079453223365556,0.04251381090846454,0.270779316652244,0.07039892711695492,0.10888224944530799,0.12428505222922621,0.014126665142292263
PA,Pennsylvania,26,4699544,921796,1360689,579759,969563,436942,318336,112459,0.19614583883032055,0.2895363890624282,0.12336494774812194,0.20631001646117156,0.09297540357106987,0.06773763582168824,0.023929768505199654,0.013613820425271143
MA,Massachusetts,27,3960551,5483,525940,94010,2782876,3159,426820,122263,0.0013844033317586366,0.13279465407717259,0.02373659624633037,0.7026486971131037,7.976162912685634e-4,0.107767833314102,0.030870199626264125,0.011473076983453725
NE,Nebraska,28,3939868,95856,727088,1259044,1277418,119309,71717,389436,0.024329749118498386,0.184546284291758,0.3195650209600931,0.32422862897944804,0.030282486621379192,0.01820289410711222,0.09884493592171108,0.011413161670849803
OH,Ohio,29,3931230,113440,200338,1915498,839882,112320,31718,718034,0.028856108647929528,0.05096064081725058,0.4872515726630088,0.21364356702609616,0.028571210537160125,0.008068212747664217,0.18264868756089062,0.011388138779089774
MI,Michigan,30,3884106,425970,359690,672459,426614,100485,27732,1871156,0.10967002445350359,0.09260560860079514,0.17313095986566793,0.10983582837337601,0.02587081814965915,0.007139866934630517,0.48174689362236767,0.011251628157267641
HI,Hawaii,31,3802907,18043,524005,39246,2739365,40889,277385,163974,0.00474452833056396,0.1377906427898447,0.010319999936890385,0.7203344704458984,0.010752037848940297,0.07294025333777555,0.04311806731008673,0.011016407760413904
NM,New Mexico,32,3734374,490338,9800,660591,109960,31380,161896,2270410,0.13130393474247626,0.0026242684851597617,0.17689470845716043,0.02944536353348647,0.008403014802480952,0.04335291537483926,0.6079760623868954,0.010817878721169863
VA,Virginia,33,3548227,324636,430824,719139,74418,424233,1171343,403635,0.09149245524595805,0.12141951459137197,0.20267558980865655,0.020973291731335116,0.11956196714584495,0.3301206489889176,0.1137568143188133,0.01027864090773457
NC,North Carolina,34,3391578,86205,380220,14713,483336,379,129738,2296987,0.025417372090513618,0.11210710766492765,0.004338098666756301,0.142510654332585,1.1174739310138231e-4,0.03825299020102147,0.6772620296510946,0.009824854039094059
DC,District of Columbia,35,3035597,134911,491467,145555,104382,64983,30220,2064080,0.04444298765613486,0.16190126686776934,0.047949381950239116,0.034385987336263676,0.02140699177130561,0.009955208151806711,0.6799585056909728,0.008793634540179176
AL,Alabama,36,2812204,118875,228383,864148,474904,437987,152419,535487,0.04227111546673001,0.0812113914922246,0.3072849622573611,0.16887252845099432,0.15574510241789002,0.05419912637916737,0.19041541794265282,0.008146501076536193
RI,Rhode Island,37,2599767,84385,257605,781602,1121991,157914,21923,174346,0.03245867802768479,0.0990877259385168,0.3006430960928422,0.43157367564093246,0.06074159722775156,0.008432678774674808,0.06706216364774228,0.0075311053765101214
MS,Mississippi,38,2437134,39313,377595,365382,1160403,27206,37772,429463,0.016130832362931214,0.15493403317175009,0.14992281918023384,0.4761342626215875,0.011163112081650004,0.015498532292438577,0.1762164082894088,0.007059983825733467
KS,Kansas,39,2436398,20920,435724,61429,167400,48400,45840,1656685,0.008586446056842929,0.1788394178619421,0.02521303990563118,0.06870798613362841,0.019865391450822074,0.018814660002183552,0.6799730585889497,0.0070578517525295564
UT,Utah,40,2395733,65124,726180,149711,494644,63762,216403,679909,0.027183329694920093,0.3031139112747539,0.062490686566491344,0.2064687509000377,0.02661481893015624,0.09032851323582386,0.28379998939781687,0.006940051811174895
AK,Alaska,41,2318908,69036,358756,246512,704471,8243,139909,791982,0.02977090941080888,0.15470902683504478,0.1063052091760432,0.30379428593113655,0.0035546903973766963,0.06033400203889072,0.34153230744816093,0.006717502186323748
NH,New Hampshire,42,2301558,86603,355359,412347,659561,66686,21859,699141,0.037627989388058,0.15439932428381123,0.17915994296037727,0.286571531110665,0.02897428611401494,0.009497479533429094,0.3037685776330642,0.006667242036747864
SD,South Dakota,43,2276870,122784,1634888,109697,116128,484,292600,289,0.053926662479632126,0.7180418732733973,0.04817885957476711,0.05100335109163018,2.1257252280543025e-4,0.12850975242328283,1.2692863448506063e-4,0.0065957248855819
IA,Iowa,44,2127163,107764,451244,202649,654632,19145,647247,44481,0.050660903748325825,0.21213418999860378,0.09526726442684458,0.30774886550772085,0.009000250568480177,0.3042771052335905,0.020910950406715423,0.006162047870448929
KY,Kentucky,45,1827728,109691,82686,750677,223955,20163,138008,502547,0.060014947519543387,0.045239773095340226,0.4107159270963732,0.12253190846778077,0.011031729010005865,0.07550795304334124,0.2749572146402528,0.005294633006572547
WI,Wisconsin,46,1690219,297351,132507,321315,490855,205863,98927,143401,0.17592453995606486,0.07839634982212364,0.19010258433966248,0.29040911266528185,0.12179664292023697,0.058529101850115284,0.08484166844651492,0.004896291628588086
AR,Arkansas,47,1685158,29867,62474,797454,105154,73455,343662,273093,0.01772356063941779,0.03707308157454672,0.47322209549490313,0.06240008355299622,0.04358938449688397,0.20393458654915445,0.16205780110826404,0.0048816307284726065
CA,California,48,1496628,7694,76727,447927,135512,21114,1864,805791,0.005140890054175119,0.05126658060653683,0.2992908057312839,0.09054487821957093,0.014107714141389845,0.0012454664753031482,0.5384043329404501,0.004335489748671935
